stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,1713.13,30691.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1344.15,0,0,0,0,0,0
  5-6,1979.87,22311.87,0,24.52,0,0,0,0,0,98.07,0,0,0,0,576.19,49.04,0,0,165.5,508.76,0,0,0,0,0,0
  7-9,178.75,141.95,0,252.36,0,0,368.02,0,0,168.24,0,0,0,0,4253.26,155.09,0,0,1663.98,7.89,92,0,0,0,0,0
 10-12,0,31.47,0,81.82,0,9.44,176.23,0,0,28.32,0,0,0,0,1214.73,78.67,0,0,487.78,3.15,44.06,0,47.2,0,6.29,0
 14-21,0,0,0,0,28,3,9,3,4,2,0,1,9,3,120,7,1,2,7,6,14,37,4,3,16,15
 24-34,0,0,0.82,0,0.82,0,3.28,0,0,0,1.64,0.82,3.28,0.82,10.67,0,0.82,0,0,0.82,0.82,0,0,0,0.82,2.46
 36-46,0,0,0,0,0.81,0,0.81,0.81,0,0,0,0,3.22,1.61,2.42,0,0,0.81,0,0,0,0,0,0,0,1.61
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0.57,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,3.93,0.98,0,0,0,0,0,0,1.96,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0.98,1.96,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,1.06,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,2.19,0,0,0,0,1.09,0,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,1.53,0,0,0,0.77,0.77,0,0.77,0,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0
