stage,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,mucous,neural,vasculature
  7-9,0,2.63,0,0,0,0,0,0,0,0,2.63,0
 24-34,0,0,0,0,0,3.28,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,3.22,0,0,0,0,0,0
 48-58,0,0,0.57,0,0,9.75,0,1.15,0,0.57,0.57,0
 60-70,0,0,0,0,0,11.78,0,0.98,0,0,0.98,0
 72-82,0,0.98,0,0.98,0,17.67,0,12.76,0.98,0,0,0
 84-94,0,0,0,0,0,14.87,0,13.81,0,0,0,0
 96-106,0,4.37,0,0,1.09,9.84,1.09,128.96,1.09,0,10.93,0
108-118,0,0,0,0,0,21.45,0,22.98,0,0,3.06,0
120,1.96,0,0,0,0,29.4,0,105.83,0,0,1.96,0
