stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,9.44,0,0,3.15,0,6.29,0,0,0
 14-21,0,0,0,1,8,2,0,0,36,0,0,0,0,0,0,4,0,0,44,0,5,6,4,1,1,16,1,99,3,0,0
 24-34,0,0,0.82,0.82,0.82,4.1,0,0,29.55,0,0,0,0,1.64,1.64,0.82,0,1.64,53.36,0.82,18.88,3.28,0,0,0,9.85,1.64,68.13,4.93,0,0
 36-46,0,0,0,0.81,0,3.22,0,0,14.5,0,0,0.81,0,0.81,0.81,0,0,0,53.17,0,20.95,2.42,0,0,0,4.03,0,40.28,0.81,0,0
 48-58,0,0,0,1.15,0,6.31,0,0,10.33,0,0,0,0.57,0,0.57,1.15,0.57,0,29.26,0,16.07,1.15,0,1.15,0,0.57,0,35,0.57,0,0
 60-70,0,0,0,0.98,0,16.69,0,0,19.63,0,0,0.98,1.96,0,0,1.96,0,0,28.46,0,15.7,1.96,0,0.98,0,1.96,0,20.61,0,0,0
 72-82,0,0.98,0.98,0,0,9.82,0,0,24.54,0,0,0,4.91,0,0.98,1.96,1.96,0,35.34,0,18.65,6.87,0,0,0,0.98,0,13.74,0.98,1.96,0.98
 84-94,0,0,3.19,0,0,5.31,1.06,1.06,9.56,1.06,0,0,1.06,0,0,1.06,0,0,18.05,0,21.24,9.56,0,0,0,3.19,0,13.81,0,0,0
 96-106,0,0,0,1.09,0,7.65,0,0,9.84,1.09,0,0,5.46,1.09,0,1.09,0,0,12.02,0,29.51,16.39,0,0,0,2.19,0,6.56,0,0,1.09
108-118,0,0.77,1.53,0,0.77,2.3,0,0,9.96,0.77,0,0,4.6,0,0,1.53,0.77,0,17.62,0,22.21,7.66,0,0.77,0,3.06,0,5.36,0,0,0
120,0,0,0,7.84,0,3.92,0,0,3.92,0,0,0,3.92,0,0,1.96,0,0,23.52,0,11.76,15.68,0,0,0,7.84,0,3.92,0,0,0
