stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,79.07,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,478.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,12.26,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,7.89,0,0,0,0,5.26,0,0,0,0,0,0,0,0,73.6,2.63,0,0,26.29,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,607.37,6.29,0,0,34.62,0,0,3.15,28.32,0,3.15,0,0,0,0,0
 14-21,0,0,1,4,569,7,1,0,0,0,23,0,0,17,0,0,0,0,0,3,16,1,3,0,7,3,0,4,1,0,2,8,0,0,0,0
 24-34,0,0,0,4.1,3.28,0,13.13,0,0,0.82,5.75,0,0,2.46,0,0,1.64,0.82,0,0.82,33.66,0,32.01,0,0,0.82,0,0,0,0,0.82,9.85,0,0,0,0
 36-46,0,0,0.81,0,0.81,0,17.72,0,0.81,0.81,0,0,0,0,0,0,0.81,0,0,0,53.98,0,42.7,0,0,0,0,0,0,0.81,0,14.5,0,0,0,0
 48-58,0,0,1.15,0,1.15,0,25.82,0.57,0,2.3,0,0,0,0,0,0.57,2.3,0.57,0,0,82.63,0,39.02,0,0,0,0,0,0,0,0,12.62,0,0,0,0
 60-70,0,0,0.98,0,0,0,190.42,0,0,6.87,0,0,0,0,0,0,3.93,0,0,0.98,94.23,0,47.11,0,0,0.98,0,0,0,0,0,19.63,0,0,0,0
 72-82,0,0,0.98,0,8.83,0.98,594.89,0,1.96,16.69,1.96,0,0.98,0,0.98,0,7.85,0,0.98,0,146.27,0,57.92,0,0,0.98,0,0,0,0,0,11.78,0.98,0.98,0,0
 84-94,0,0,1.06,0,9.56,2.12,587.31,0,0,4.25,0,0,0,0,0,0,5.31,0,1.06,1.06,83.9,0,50.98,0,0,2.12,0,0,0,0,0,3.19,0,0,0,0
 96-106,0,0,3.28,0,7.65,3.28,712.54,1.09,0,14.21,2.19,0,3.28,0,0,2.19,9.84,0,1.09,0,80.87,0,69.94,0,0,5.46,0,0,0,1.09,0,2.19,1.09,2.19,2.19,2.19
108-118,0.77,0,0.77,0,5.36,1.53,543.07,0,1.53,9.19,1.53,0,0,0,0,0.77,10.72,0.77,0.77,0.77,137.11,2.3,39.83,0.77,0,0.77,0,0,0,0,0,3.06,0.77,0.77,0.77,0.77
120,0,0,0,0,9.8,0,576.18,0,3.92,7.84,0,0,1.96,1.96,0,0,1.96,0,1.96,0,101.91,0,17.64,1.96,0,3.92,0,0,3.92,0,0,3.92,0,0,0,1.96
