stage,blastomeres,endocrine_pancreas,erythrocytes,eye,glial,gut,hatching_gland,immune,ionocyte,melanocytes,mesenchyme,mucous,neural,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
 24-34,0,0,0,0,0,0,0,0,0.82,0.82,0,0,6.57,0,0,0.82,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0.81,0.81,0,10.47,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,1.15,0,0,1.15,0.57,1.15,9.18,0,0,0,0,0,0.57
 60-70,0,0,0,0.98,0,0,0.98,0.98,0,3.93,4.91,1.96,12.76,0,0,0,0,0,0
 72-82,0,0.98,0,0.98,0,1.96,0.98,0.98,0,0.98,4.91,2.94,33.38,0,0,0.98,0,0,0.98
 84-94,0,0,0,1.06,0,2.12,0,0,0,2.12,2.12,4.25,24.43,0,0,1.06,0,0,1.06
 96-106,0,0,1.09,2.19,0,2.19,0,0,0,4.37,4.37,0,24.04,0,0,1.09,0,0,0
108-118,0,0,0,0.77,0.77,5.36,0,0,0,0,4.6,1.53,32.17,0,0,0.77,0,0,1.53
120,0,0,0,0,0,0,0,0,0,1.96,5.88,0,35.28,0,1.96,1.96,0,0,0
