stage,blastomeres,epidermis,eye,glial,heart,liver,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0
 24-34,0,0,0,0,0,0,0.82,0.82,1.64,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,2.87,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
 72-82,0,0.98,1.96,0,0,0,0.98,0.98,0.98,0.98,0,1.96,0,1.96,0
 84-94,0,0,0,0,0,1.06,1.06,0,1.06,0,0,7.43,0,1.06,1.06
 96-106,0,0,0,0,1.09,0,0,0,1.09,0,0,10.93,0,0,1.09
108-118,0,0,0.77,0.77,0,0,1.53,0,1.53,0,0,2.3,0,0,0.77
120,0,1.96,0,0,0,0,1.96,0,1.96,0,0,5.88,0,0,1.96
