stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,visceral.smooth.muscle,xanthophores
 14-21,1,1,0,0,0,0,0,0,0,0,0,11,0,0,12,1,3,0,0,0,0,3,9,32,0,0,0,0
 24-34,18.06,0,1.64,0,0,1.64,0,0,0,0,0,24.63,0,0,13.95,4.93,9.03,0,0.82,0,0,0,0,4.93,0.82,0,0,0.82
 36-46,16.92,0,2.42,2.42,0.81,4.03,0,0,0.81,0,0,32.23,0,0,6.45,4.83,6.45,0,0,0,0,0,0,0,0,0,0,0.81
 48-58,1.72,0,1.15,1.72,0,12.62,0,0,0,0,0,14.35,0,0,1.72,4.02,0.57,0,0,0,0,0,0,0,3.44,0,0,2.3
 60-70,18.65,0,2.94,2.94,0,43.19,0,1.96,0,0,0.98,29.45,0,0.98,0,3.93,1.96,0,0,0,0,0,0,0,9.82,0,0,0.98
 72-82,23.56,0.98,9.82,3.93,0.98,95.22,0,0.98,0,0.98,0,52.03,0,0,0,7.85,0,0.98,0,0.98,0,0,0,0,0,0,0,4.91
 84-94,33.99,0,2.12,9.56,1.06,55.23,1.06,3.19,0,2.12,1.06,30.8,0,1.06,0,5.31,1.06,0,0,0,0,0,0,0,2.12,1.06,1.06,7.43
 96-106,33.88,0,10.93,6.56,1.09,81.96,1.09,0,0,2.19,0,45.9,0,0,5.46,5.46,1.09,1.09,1.09,1.09,2.19,0,0,0,2.19,0,0,5.46
108-118,72.77,0,6.13,19.15,0,85.02,0,12.26,0,1.53,0,41.36,0.77,0,0.77,7.66,0,1.53,0.77,0.77,0.77,0,0,0,0,0.77,0.77,2.3
120,82.31,0,13.72,13.72,3.92,92.11,0,5.88,0,3.92,0,41.16,3.92,0,0,11.76,1.96,0,1.96,0,0,0,0,0,0,0,0,0
