stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,hatching_gland,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,395.34,5811.47,0,0,0,0,0,0,0,0,0,0,0,0,0,210.85,0,0,0,0,0
  5-6,312.61,3616.48,0,0,0,0,0,24.52,0,0,104.2,6.13,0,0,24.52,104.2,0,0,0,0,0
  7-9,34.17,42.06,81.49,0,0,118.29,0,44.69,0,0,991.02,39.43,0,0,378.53,7.89,7.89,0,0,0,0
 10-12,0,12.59,22.03,0,3.15,59.79,0,9.44,0,0,270.64,12.59,0,0,129.03,0,3.15,0,9.44,0,0
 14-21,0,0,2,3,0,1,0,0,0,1,13,0,0,0,0,0,0,2,0,6,4
 24-34,0,0,0,0,0,0,0,0,0,0,1.64,0,0.82,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0.57,0,0,0,0,0.57,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0
