stage,endocrine_pancreas,epidermis,erythrocytes,eye,glial,heart,immune,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,9,0,0,0,1,0,0,1,1,0,0,3,12,0,0,0,0
 24-34,0,0.82,0,6.57,4.93,0,0,0,0.82,0,0,0,6.57,0,0,0,11.49,0,0,0,0.82
 36-46,0,0,0,8.06,1.61,0.81,0,0.81,0,0,0,0,12.09,0,0,0,24.17,0,0,0,0
 48-58,0.57,0,0,43.04,1.15,0,0,0.57,0,0,0,0,22.95,0,0,0,12.05,0,0,0,0
 60-70,0,0,0,109.93,1.96,0,0,0,0,0,0.98,0,53.98,0,0,0,4.91,0,0.98,0,0
 72-82,0,0,0,191.42,2.94,0,0,0,2.94,0,0,0.98,84.42,0,0,0,3.93,0,0,0,0
 84-94,0,2.12,0,121.07,4.25,0,0,1.06,2.12,0,0,0,50.98,1.06,0,0,0,0,0,0,0
 96-106,0,2.19,0,128.96,6.56,0,1.09,0,0,1.09,0,0,51.36,0,0,0,1.09,0,0,0,0
108-118,0,2.3,1.53,118.72,6.89,0,0,0.77,1.53,0,0,0,50.55,0,0,0,0,0.77,0,0.77,0.77
120,0,3.92,0,97.99,7.84,0,0,0,3.92,0,0,0,60.75,0,0,0,0,0,0,0,0
