stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,10,34,17,15,0,0,0,0,24,0,2,0,0,0,13,0,25,29,0,0,8,0,0,4,10,3,1,0,0,10,0
 24-34,0.82,0,7.39,22.98,4.1,31.19,0,0,0.82,0,5.75,0,18.06,0,0,0,97.68,3.28,50.89,48.43,0,0,9.03,0,2.46,5.75,4.1,0.82,2.46,0,0,10.67,0
 36-46,0,0,0,9.67,0.81,12.89,0,0,1.61,0,1.61,0,12.89,0,0.81,1.61,117.63,10.47,54.79,20.14,0,0.81,2.42,0,0.81,2.42,2.42,0,4.83,0,0,4.03,0
 48-58,0,0,0,0,0,11.48,0,0,1.72,0,0,0,12.05,0.57,0,0,164.11,5.74,28.12,5.74,0,0,1.72,0,4.59,0,0.57,0,2.87,0,0.57,0.57,0.57
 60-70,0,0,0,1.96,0,10.8,0,0,0,1.96,0,0,4.91,0,0,0.98,181.58,4.91,30.43,12.76,0,0,2.94,0,6.87,0,0,0,1.96,0,4.91,0,0.98
 72-82,0,0,0,0.98,0,17.67,0,0,2.94,0,0,0,0.98,0,0,0,197.31,15.71,28.47,12.76,0.98,0,0,0,9.82,0,0,0,1.96,0.98,9.82,0.98,1.96
 84-94,0,0,0,2.12,0,18.05,1.06,0,7.43,0,0,0,3.19,0,0,0,121.07,18.05,20.18,4.25,0,0,2.12,0,6.37,3.19,2.12,0,2.12,1.06,13.81,0,2.12
 96-106,0,0,0,12.02,0,26.23,0,1.09,0,1.09,1.09,0,3.28,0,0,0,138.79,15.3,15.3,9.84,0,1.09,1.09,0,13.11,1.09,0,0,0,0,15.3,1.09,5.46
108-118,0,0,0,10.72,0,15.32,0,0.77,5.36,1.53,0,0,1.53,0,0,0.77,127.92,22.21,14.55,18.38,0,0,0.77,0,16.09,0,0,0,0.77,0.77,6.13,0,1.53
120,0,0,0,3.92,0,1.96,0,0,3.92,0,0,1.96,5.88,0,0,1.96,92.11,33.32,13.72,11.76,0,0,1.96,0,17.64,0,0,0,0,0,5.88,0,0
