stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,114,1,0,0,0,0,0,5,0,1,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,92,0,0
 24-34,0,0,0,0,21.34,0,0,0,0,0.82,0,13.95,0,0,0,0.82,0,0,0,16.42,0,0.82,0,0,0,0,0,0,3.28,0,355.43,0,0
 36-46,0,0,0,0.81,1.61,2.42,0,0,0,0,0,9.67,0,0,0,0,0,2.42,0.81,13.7,0,0,0,0,0,0.81,0,0,0.81,0,219.14,0,0
 48-58,0,0,0,0,1.72,9.18,0,0,0,0.57,0,13.77,0,0,0,0,0,4.02,1.15,13.77,0.57,0,0,0,0,0,0,0,3.44,0,162.39,0,0.57
 60-70,0,0,0,0,0.98,6.87,0,0.98,0,2.94,0,10.8,0,0,0,0,0,0.98,1.96,10.8,0.98,0.98,0,0,0,0,0.98,0,0.98,0,127.6,0,0
 72-82,0,0,0,0,0,12.76,0,0,0,0,0,20.61,0.98,0,0,0,0,6.87,0,9.82,0,0.98,0.98,0,0,0,0.98,0,0.98,0.98,210.08,0,0
 84-94,0,0,0,1.06,0,9.56,0,0,0,0,0,12.74,0,0,0,0,0,2.12,0,4.25,0,0,0,0,0,0,0,0,0,0,215.59,0,0
 96-106,0,0,0,0,0,36.06,1.09,1.09,2.19,0,0,27.32,1.09,0,0,0,1.09,3.28,0,12.02,0,1.09,1.09,0,0,0,2.19,0,0,0,263.38,1.09,0
108-118,0.77,0,0,0,0,49.02,0,1.53,0,2.3,0,11.49,1.53,0,1.53,0.77,0,3.06,0,3.83,0,0,0,0,0,0,1.53,0,1.53,0,211.41,0.77,0.77
120,0,0,0,0,0,23.52,0,0,0,0,1.96,11.76,1.96,0,0,0,0,1.96,0,11.76,1.96,0,0,0,1.96,0,0,0,0,0,162.66,0,0
