stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,3.15,0,0,0,0,0
 14-21,2,0,0,0,0,0,0,0,0,8,0,20,0,0,0,0,0,0,0,0,0,0,0
 24-34,0.82,0.82,4.93,0,0,0,0,0,0,0,0,100.97,0.82,0,0.82,15.6,0,1.64,2.46,0,0,0,9.03
 36-46,0,0,1.61,0,0,0,0,0,0,0,0.81,139.38,0,0,0,10.47,0,1.61,0.81,0,0,0,3.22
 48-58,0.57,0,6.89,0,1.15,0.57,0,0,0,0,1.15,98.12,0.57,0.57,0,15.49,0,0.57,2.3,0,0,0,2.87
 60-70,0,0,3.93,0,1.96,1.96,0,0,0,0,0.98,70.67,0.98,0,0,4.91,0,0.98,2.94,0,0,0,9.82
 72-82,0.98,2.94,6.87,0,0.98,0.98,0,0,0,0,0.98,60.86,1.96,0,0,6.87,0,0,0,0.98,0,0.98,14.72
 84-94,1.06,0,9.56,0,0,2.12,0,0,1.06,0,2.12,105.14,4.25,0,0,3.19,0,6.37,0,0,1.06,0,10.62
 96-106,0,0,8.74,0,0,0,0,0,1.09,0,2.19,69.94,8.74,0,0,9.84,0,1.09,1.09,0,1.09,0,13.11
108-118,2.3,0.77,6.13,0.77,0,0.77,0,0.77,0,0,0.77,96.51,1.53,0.77,0,6.13,0.77,0.77,0,0,0,0.77,42.13
120,0,0,0,0,0,0,1.96,1.96,0,0,0,39.2,0,0,1.96,3.92,0,0,0,0,0,0,15.68
