stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,65.89,869.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,140.98,1133.98,0,0,0,0,0,0,0,0,0,0,0,0,55.17,18.39,0,12.26,12.26,0,0,0,0,0,0
  7-9,13.14,18.4,57.83,0,0,63.09,0,0,28.92,0,0,0,0,0,417.97,26.29,0,170.87,0,0,0,0,0,0,0
 10-12,0,0,22.03,0,0,28.32,0,0,0,0,0,0,0,0,132.17,0,0,72.38,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,1,0,0,0,1,0,2,11,2,1,0,0,4,1,3,8,0,0
 24-34,0,0,0,0,0,4.1,0,0.82,0,0.82,0,4.93,0,0.82,24.63,0.82,0,0,1.64,0,0,0,7.39,1.64,0
 36-46,0,0,0,0.81,0,4.83,0.81,0,0,0,0,4.03,0,0.81,24.17,0,0,0,0.81,0,0,0,6.45,0,0
 48-58,0,0,0,1.15,0,4.02,0.57,0.57,0,0,0,4.02,0,0,10.9,0,0.57,0.57,0,0,0,0,1.72,0,0
 60-70,0,0,0,0,0,5.89,0,0,0,0,0,2.94,0,0,6.87,0,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,0,1.96,0,2.94,0,0,0,3.93,0,0,11.78,0,0,0,0.98,0,0,0,0,1.96,0
 84-94,0,0,0,1.06,1.06,3.19,0,1.06,0,0,0,3.19,1.06,0,10.62,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,1.09,0,0,3.28,0,0,0,0,0,0,0,2.19,0,1.09
108-118,0,0,0,0,0,2.3,0,1.53,0,0,0.77,0.77,0,0.77,9.96,0,0.77,0,0,0,0,0,0.77,2.3,0
120,0,0,0,3.92,0,0,0,1.96,0,0,0,1.96,0,0,15.68,0,0,0,3.92,0,0,0,0,0,0
