stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,28.32,3.15,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,9,6,0,0,0,0,1,0,0,1,0,0,0,4,0,4,15,0,0,0,1,0,0,0,3,5,0,0,1,0,0
 24-34,0,0,0,1.64,0,0,0,0,1.64,0,0,0,4.93,0,2.46,0,16.42,0,7.39,14.78,0.82,0.82,0,0,0,0,0,3.28,4.93,0,0,4.1,0,0
 36-46,0,0,0,0,0,1.61,0,2.42,0.81,0,0,3.22,6.45,0.81,0.81,0,53.17,0,20.95,26.59,0.81,1.61,0.81,0,0,0,0,0,14.5,0,0.81,3.22,0,0
 48-58,0,0,0,1.72,0,2.87,0.57,5.16,0,0,0,1.15,9.75,0,0,0,47.63,0.57,13.2,16.07,0.57,0,0.57,0,0,0,0,0,5.16,0,0,7.46,0,0
 60-70,0,0,0,1.96,0,3.93,0,2.94,1.96,0,0,1.96,18.65,0,0,0,29.45,0.98,5.89,7.85,0,0,1.96,0,0,0,0,0,1.96,0.98,0,15.7,0,0.98
 72-82,0,0,0,10.8,0,7.85,0,3.93,3.93,0,0,1.96,33.38,1.96,0,0.98,98.17,1.96,7.85,10.8,0,0,0,0,0,0.98,0,0,4.91,7.85,0.98,26.5,5.89,0
 84-94,0,0,0,7.43,1.06,8.5,1.06,7.43,4.25,2.12,0,4.25,41.42,0,0,0,128.51,2.12,14.87,16.99,0,0,0,0,1.06,1.06,0,0,2.12,1.06,1.06,27.61,4.25,0
 96-106,0,0,0,17.49,2.19,15.3,4.37,7.65,6.56,1.09,0,5.46,61.2,1.09,2.19,2.19,217.48,7.65,20.76,24.04,0,2.19,2.19,0,7.65,2.19,0,0,1.09,0,2.19,40.44,15.3,0
108-118,0,0,0,15.32,0,7.66,2.3,3.83,3.83,1.53,0,1.53,53.62,1.53,0,0,132.51,3.06,9.96,23.74,0,0.77,0.77,0,3.06,0,0.77,0,5.36,2.3,1.53,37.53,4.6,0.77
120,0,0,0,15.68,0,3.92,7.84,5.88,9.8,0,0,3.92,47.03,0,0,0,164.62,7.84,5.88,23.52,0,1.96,1.96,0,3.92,0,0,0,1.96,0,3.92,15.68,5.88,0
