stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,18.4,0,0,0,5.26,0,0,0,0,0,157.72,0,0,0,0,0,0,0,21.03,5.26,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,37.76,0,0,0,0,0,0,0,0,0,122.73,0,0,0,0,0,0,0,66.09,6.29,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,2,5,4,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,16,0,0,1,0,0,0,1,5,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,1.64,0,0,0,0.82,0,0,0,0,0.82,0,0,0,0.82,23.8,0,1.64,0.82,0,1.64,0,0,10.67,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,2.42,0,0,0,0.81,0.81,0,0,0.81,0.81,0,2.42,0,0,31.42,0,0.81,1.61,0,0,0,0,9.67,0,0,1.61,0
 48-58,0,0,0,0,0,0,0,13.2,0,0,0,13.2,0.57,0,0,0,0.57,0,5.74,0,0,43.61,0,4.02,2.3,0,0.57,0,0,9.18,0,0,0,0
 60-70,0,0,4.91,0.98,0.98,0,0,42.21,0,0,0,46.13,12.76,0,0,1.96,1.96,0,25.52,0,0,61.84,0,0.98,8.83,0,0.98,0,0,13.74,0,0,0.98,0
 72-82,0,0,26.5,2.94,2.94,0,0,103.07,0,0,0,79.51,19.63,0,0,4.91,3.93,0,55.95,0.98,0.98,112.89,0,5.89,16.69,0,2.94,0,0,10.8,0,0.98,3.93,0
 84-94,0,0,15.93,4.25,2.12,0,0,177.36,0,1.06,0,72.22,25.49,0,1.06,6.37,6.37,1.06,50.98,0,0,61.6,0,3.19,22.3,0,3.19,1.06,0,6.37,1.06,0,1.06,0
 96-106,0,0,20.76,12.02,4.37,0,0,145.35,1.09,4.37,0,81.96,29.51,0,0,7.65,8.74,0,48.09,0,0,57.92,0,8.74,20.76,0,4.37,0,1.09,12.02,0,0,4.37,1.09
108-118,0,0,15.32,16.09,0.77,0.77,0.77,135.58,0,0,0.77,65.87,16.85,0,0,7.66,9.96,0.77,57.45,0,1.53,61.28,0,6.89,19.15,0,0,0,0.77,7.66,0.77,0.77,5.36,0
120,1.96,0,19.6,7.84,5.88,0,0,97.99,0,0,0,82.31,33.32,0,0,9.8,5.88,0,58.79,0,1.96,137.18,1.96,17.64,27.44,0,3.92,0,1.96,7.84,0,0,3.92,0
