stage,blastomeres,eye,fin.mesenchyme,glial,heart,immune,melanocytes,mesenchyme,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
 24-34,0,0,0,0,0,4.93,0,1.64,0,0.82,0,0,0,0,0,0,10.67
 36-46,0,0.81,0,0,0,4.83,1.61,0,0.81,0,0,0,0,0,0.81,0,16.11
 48-58,0,0.57,0,0,0,8.03,0,2.3,0,1.15,0,0,0,0.57,0,0,16.07
 60-70,0,1.96,0,0.98,0,30.43,0,0.98,0,0,0,0,0,0,0,0,38.28
 72-82,0,1.96,0.98,0,0,29.45,0,0.98,0,0,0,0,0,0,0,0,16.69
 84-94,0,6.37,0,0,0,35.05,0,3.19,0,2.12,0,0,0,0,0,1.06,33.99
 96-106,0,1.09,0,0,1.09,36.06,0,0,0,1.09,1.09,1.09,1.09,0,0,1.09,42.62
108-118,0,0.77,0,0,0,26.04,0,0,0,0.77,0,0,0.77,0,0,0,29.11
120,0,0,0,0,0,48.99,0,0,0,1.96,0,0,0,0,0,0,21.56
