stage,axial,blastomeres,endoderm,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,liver,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,somites,vasculature
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,294.22,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0
  7-9,0,0,2.63,0,2.63,0,0,0,2.63,0,0,0,0,7.89,2.63,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,1.09,1.09,0,0,0,1.09,0,1.09,0,0,0,1.09
108-118,0,0,0,0,0,0.77,0,3.06,0,0,0.77,0.77,0,0,0,0,0,1.53
120,0,0,0,1.96,0,0,0,7.84,0,1.96,0,1.96,0,0,0,1.96,0,3.92
