stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,1,1,1,32,0,0,0,0,0
 24-34,0,1.64,0,0,1.64,0,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0,215.06,0,0.82,0.82,0,0,0,0,0,0,80.44,0,0,0.82,0,0
 36-46,0,4.83,0,0,10.47,0,0,0.81,2.42,0,0,0,0,0,0,0.81,4.83,0,0.81,459.23,0.81,1.61,0.81,0,0,1.61,0,0.81,0,101.51,0,0,0,0,0
 48-58,0,2.3,0,0,37.3,0,0,0,7.46,0,0,0,0.57,0.57,0,0,9.18,0,1.15,628.89,0,0,0,0,0,0,0,0,0,93.53,0,0,0.57,0,0.57
 60-70,0,1.96,0,0,145.27,0,0.98,0,8.83,0,0.98,3.93,0,0,0.98,0,11.78,0,0.98,858.83,0.98,2.94,0,0,0,1.96,0,0,0,86.37,0,0,0.98,0.98,0.98
 72-82,0,5.89,0.98,0,321.99,0,0,0.98,20.61,0.98,0,0.98,0,0,0,0.98,36.32,0,1.96,1092.59,0.98,0.98,0.98,0,0.98,0,0,0,0,72.64,0,0,0.98,0,0.98
 84-94,1.06,8.5,1.06,0,206.04,1.06,2.12,0,13.81,0,0,2.12,0,2.12,0,0,9.56,0,6.37,582,0,1.06,0,0,0,2.12,0,0,0,42.48,0,2.12,1.06,0,0
 96-106,0,3.28,0,0,186.88,0,1.09,0,28.41,1.09,1.09,1.09,0,0,0,2.19,16.39,0,1.09,562.82,0,1.09,2.19,0,0,3.28,0,0,0,20.76,0,0,2.19,0,0
108-118,0.77,5.36,0.77,0.77,161.62,0,0,0,21.45,0,0,2.3,1.53,0,0,0,13.02,0.77,1.53,568.34,0,0,3.06,0,0,0,0,0,0,11.49,1.53,0.77,2.3,0.77,0
120,1.96,11.76,0,0,148.94,0,1.96,1.96,25.48,0,0,7.84,1.96,0,0,1.96,19.6,0,3.92,605.57,0,0,0,0,0,3.92,0,0,0,33.32,0,0,1.96,1.96,0
