stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,3,4,43,3,0,57,0,3,0,3,2,1,11,0,0,0,0,2,16,35,0,0,19,353,5,4,13,0,0,7,1,10,2,200,152,157,0,0,3,0,30
 24-34,0,0,20.52,0.82,0,265.14,0,9.85,0,4.1,0.82,0,10.67,0,0,1.64,4.93,0.82,93.58,36.94,0,0,10.67,815.93,2.46,4.1,18.06,0,0,7.39,0,0.82,1.64,25.45,6.57,278.27,0,0,2.46,0,67.31
 36-46,0,0,8.86,0,0,778.28,0.81,1.61,0.81,20.14,0,0,12.89,0.81,0,14.5,8.06,1.61,45.92,46.73,0,0.81,14.5,1223.81,0,5.64,4.03,0,0.81,10.47,0,0,0.81,13.7,0.81,409.28,0,0.81,3.22,0,41.89
 48-58,0,0,6.31,0.57,0,1102.85,2.87,2.3,3.44,77.46,0,0,5.16,0,0.57,22.95,5.16,0.57,36.72,63.69,1.15,1.15,15.49,1296.8,0.57,1.72,2.87,0,2.87,5.16,0,0,0.57,13.77,0,425.19,0,0,4.02,0,38.44
 60-70,0.98,0,20.61,0,0,1285.79,4.91,3.93,0.98,146.25,0,0.98,5.89,2.94,0.98,67.73,5.89,0,20.61,74.6,0,2.94,8.83,1469.34,2.94,0,0.98,0,0,4.91,0,0,1.96,20.61,0,350.4,1.96,2.94,0.98,0.98,22.58
 72-82,1.96,0,19.63,3.93,0,977.74,7.85,5.89,3.93,276.83,0,0,2.94,0,1.96,60.86,6.87,2.94,20.61,96.2,0,0.98,6.87,1118.11,0,4.91,9.82,0,0,5.89,0,0,0.98,9.82,0,174.74,19.63,4.91,6.87,1.96,21.6
 84-94,0,0,36.11,2.12,1.06,689.26,15.93,1.06,3.19,202.85,0,0,4.25,4.25,1.06,72.22,9.56,1.06,43.54,89.21,0,4.25,6.37,630.85,0,1.06,6.37,0,2.12,11.68,0,0,4.25,13.81,0,105.14,55.23,3.19,6.37,1.06,24.43
 96-106,4.37,0,25.14,4.37,2.19,522.38,7.65,4.37,0,249.17,4.37,0,6.56,4.37,6.56,95.08,7.65,2.19,28.41,60.11,0,4.37,9.84,527.84,0,0,12.02,1.09,0,14.21,0,0,4.37,20.76,0,46.99,84.15,3.28,12.02,2.19,25.14
108-118,0,0,25.28,2.3,3.83,423.58,11.49,3.06,3.06,220.6,0.77,0,3.06,3.06,2.3,114.89,8.43,10.72,50.55,67.4,0.77,3.06,9.19,610.47,0.77,0.77,9.19,0,0.77,5.36,0,0,1.53,15.32,0,29.11,88.09,5.36,8.43,2.3,31.4
120,0,0,17.64,3.92,1.96,435.07,13.72,5.88,1.96,229.29,3.92,0,3.92,5.88,1.96,74.47,7.84,11.76,15.68,50.95,0,1.96,3.92,687.88,1.96,1.96,7.84,0,1.96,9.8,0,0,5.88,11.76,0,37.24,37.24,3.92,0,0,17.64
