stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 24-34,0.82,0,0,11.49,0,0,0,0,0,0,0,0,0,0.82,0,1.64,0,0,1.64,13.95,0.82,0,1.64,0,0,3.28,0,0,0,0
 36-46,1.61,0,0,37.06,0,0.81,1.61,0,0,0,0,0,0,0,0,7.25,0,0,1.61,27.39,0,1.61,0,0,0,2.42,0,0,0,0
 48-58,0,0,0,35,0,0,1.72,0,0.57,0,0,0,0,0,0.57,2.3,0,0.57,1.15,18.36,0,0,0.57,0,0,5.74,0,0.57,0,0.57
 60-70,0.98,0,0,45.15,0.98,0,4.91,0,0,0.98,0,0,0.98,0,0,7.85,0,0.98,0.98,24.54,0.98,0,2.94,0,0,2.94,0,0,0,0
 72-82,1.96,0.98,0.98,57.92,0,1.96,1.96,0.98,0,0,0,0,0,0,0.98,14.72,0.98,0,0,36.32,0,0,1.96,0,0.98,0.98,0.98,0.98,0,1.96
 84-94,0,2.12,0,47.79,0,0,3.19,0,0,0,0,0,0,0,0,6.37,0,1.06,2.12,8.5,0,0,0,0,0,4.25,0,1.06,0,0
 96-106,1.09,3.28,0,29.51,0,1.09,1.09,0,0,1.09,0,0,0,0,0,6.56,0,0,1.09,5.46,0,0,3.28,0,0,0,1.09,1.09,0,0
108-118,1.53,0.77,0.77,45.96,0,0.77,1.53,0.77,0,0.77,0.77,0,0,0,0,9.96,0,0.77,0.77,22.21,1.53,0,3.06,0.77,0,0,0,0.77,0,0
120,1.96,1.96,0,39.2,0,0,0,1.96,0,1.96,0,1.96,0,1.96,0,5.88,0,0,0,15.68,0,0,0,0,0,1.96,0,0,1.96,0
