stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,2,0,0,0,1,0,0,0,0,0,3,1,5,0,0,1,1,1,2,2,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82,3.28,4.1,2.46,0.82,0,0,4.93,11.49,0,0,0.82,0
 36-46,0,0,1.61,0,0.81,0.81,4.83,0,0.81,0,0,0,0.81,0,3.22,3.22,2.42,0.81,0,0,0.81,13.7,0,0,0,0
 48-58,0,0,0,0,1.15,0.57,5.74,0,0,0,0,0.57,4.02,0.57,6.31,2.3,4.02,0.57,0,0.57,0.57,4.59,0,0,0,0
 60-70,0,0,0.98,0,1.96,0,2.94,0,0,0,0,0,1.96,0,2.94,0.98,4.91,2.94,0,0.98,0,7.85,0,0.98,0,0
 72-82,0,0,0,0.98,0.98,0,4.91,0.98,0,0,0.98,0,3.93,0.98,2.94,0,3.93,1.96,0,0,0.98,5.89,0,0,0,0.98
 84-94,0,0,0,0,1.06,1.06,5.31,0,0,1.06,1.06,0,1.06,0,3.19,0,8.5,3.19,0,0,2.12,2.12,0,1.06,0,0
 96-106,0,0,0,0,0,0,2.19,0,0,0,3.28,0,0,1.09,2.19,0,8.74,5.46,0,0,2.19,4.37,0,0,0,0
108-118,0,0.77,0,0,0,0,2.3,0.77,0,0,4.6,0,2.3,0.77,4.6,0,5.36,4.6,0,0,1.53,3.83,0,0,0,0
120,0,0,3.92,0,0,0,0,0,0,1.96,3.92,0,1.96,0,7.84,0,1.96,5.88,0,0,0,1.96,1.96,0,0,0
