stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,lateral.line,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,15.77,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,9.44,0,6.29,0,0,0,0,0
 14-21,0,2,1,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,4.1,0,0,0,0,0.82,2.46,1.64
 36-46,0,0,0,0,0,0,0,0,0,0,1.61,0,8.86,0,0,0,0,0,2.42,4.03
 48-58,0,0,0,1.72,0,0,0,0,0,0,1.15,0,2.87,0,0,0,0,0,0.57,2.3
 60-70,0,0,0,3.93,0,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0,3.93
 72-82,0,0.98,1.96,1.96,0,0,0,0,0,0,0.98,0,6.87,0.98,0,0.98,0,0,1.96,4.91
 84-94,0,0,0,1.06,0,0,0,1.06,0,0,0,0,3.19,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,1.09,1.09,0,0,3.28,0,0,0,0,8.74,0,0,4.37,0,0,0,4.37
108-118,0,0.77,0,0.77,0,0,0,2.3,0.77,0,1.53,0,3.83,0,0,2.3,0,0,0,5.36
120,0,0,0,0,0,1.96,0,3.92,0,1.96,1.96,0,5.88,1.96,0,9.8,0,0,1.96,1.96
