stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,17,3,0,10,0,0,0,3,0,0,0,2,0,0,0,1,5,0,0,8,80,3,0,0,3,0,0,13,0,0,26,42,0,0,1,0,0
 24-34,0,2.46,5.75,1.64,0,13.13,0,0,0,4.1,1.64,0,0,0,0,0,0,1.64,21.34,0.82,0,8.21,132.16,0.82,2.46,6.57,0,0,4.1,0.82,3.28,0,5.75,42.68,0,0,6.57,0,0
 36-46,0,0,2.42,0.81,0,18.53,0,0,1.61,9.67,0,0.81,0.81,0.81,0,0.81,0,0.81,26.59,0,0.81,7.25,117.63,0.81,3.22,1.61,0,0,5.64,0,1.61,0,0,41.09,0,0,0.81,0,0
 48-58,0,0,4.59,0,0,40.17,1.15,0.57,1.72,26.4,0,0.57,0,0.57,0,0,0,2.3,43.04,0.57,1.15,8.61,88.37,0,1.15,0.57,0,0,4.59,0,1.72,0.57,0,20.66,0,1.15,2.3,0,0.57
 60-70,0,0,3.93,0,0,56.93,0.98,0.98,3.93,30.43,2.94,1.96,0,0,0,1.96,1.96,0,66.74,0,1.96,12.76,73.61,1.96,0.98,0.98,0,0,7.85,0,2.94,0,0,9.82,0,3.93,2.94,1.96,1.96
 72-82,0.98,0,3.93,3.93,0,40.25,0,0,1.96,34.36,2.94,0,2.94,0,0.98,0.98,0,0,77.55,2.94,4.91,14.72,80.5,1.96,1.96,4.91,0,0,7.85,0,1.96,0,0,7.85,0,1.96,1.96,3.93,0
 84-94,0,0,9.56,0,0,14.87,0,0,3.19,18.05,2.12,1.06,5.31,1.06,1.06,0,0,1.06,36.11,1.06,0,6.37,35.05,1.06,0,3.19,0,0,29.74,0,0,0,0,4.25,1.06,2.12,6.37,2.12,0
 96-106,2.19,0,9.84,1.09,0,17.49,0,3.28,2.19,13.11,3.28,4.37,8.74,3.28,2.19,1.09,0,1.09,41.53,1.09,2.19,9.84,31.69,0,1.09,5.46,0,1.09,16.39,0,1.09,0,0,0,0,1.09,8.74,4.37,0
108-118,0.77,0,16.09,0.77,2.3,18.38,0,3.83,4.6,15.32,1.53,0.77,3.83,2.3,1.53,2.3,0.77,2.3,36.77,0,1.53,7.66,39.83,3.06,1.53,1.53,0,0,15.32,0,1.53,0.77,0,0.77,0.77,0,7.66,1.53,1.53
120,0,0,29.4,1.96,0,13.72,0,1.96,1.96,17.64,1.96,0,5.88,1.96,1.96,3.92,0,1.96,33.32,0,0,9.8,37.24,0,0,1.96,0,0,15.68,0,5.88,0,0,1.96,0,0,3.92,1.96,0
