stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,39.53,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,0,7.89,0,0,7.89,0,0,0,0,0,21.03,0,0,0,10.51,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,0,0,0,0,0,0,66.09,3.15,0,0,22.03,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,1,0,17,1,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0
 24-34,0,0,0,2.46,0,0,0,0,0,9.85,0,1.64,1.64,0,0,0,0,0,0,0,0,0,2.46,0,1.64,0
 36-46,0,0,0,0.81,0,0,0,0,0,0.81,0,0.81,0.81,0,0,0,0,0,0,0,0,0,0,0,4.83,0
 48-58,0,0,0,0,0.57,0,1.72,0.57,2.3,0,1.72,0.57,3.44,0.57,0,0,0,0,0,0,0,0,1.15,0,9.18,0.57
 60-70,0,0,0.98,0,0,0,0,0,4.91,0,0.98,0,1.96,0,0,0,0,0,0,0,0,0,0.98,0,4.91,0
 72-82,0,0,0,0,0.98,0,0,0.98,16.69,0,0.98,0,6.87,0,0,0,0,0.98,0,0,0,0,0,0.98,18.65,0
 84-94,0,0,0,0,0,0,0,0,38.23,2.12,0,0,2.12,0,0,1.06,0,0,0,0,0,0,0,0,12.74,0
 96-106,0,0,0,1.09,0,0,0,1.09,30.6,0,2.19,0,9.84,1.09,0,0,0,2.19,0,0,0,0,0,0,8.74,0
108-118,0,0,0.77,2.3,0.77,0,0.77,0,35.23,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,8.43,0
120,0,0,0,1.96,1.96,0,0,0,45.08,0,1.96,0,3.92,0,1.96,0,0,0,0,0,0,0,0,0,5.88,0
