stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,6,12,16,0,5,0,0,0,0,1,0,0,0,0,0,0,5,0,0,13,48,3,0,0,74,0,2,1,1600,3,14,678,20,0,0,0,0,0
 24-34,0,0.82,0.82,0,16.42,0,0,1.64,4.1,0,1.64,0,0,0,0,0.82,4.1,0,0,4.93,36.94,8.21,0,0,0,0,0,0,4.93,19.7,0,162.53,26.27,0,0,1.64,0,0
 36-46,0,0,0,0,66.87,0,0,0.81,0.81,0,0,0,0,0,0,0,10.47,0,0,0.81,57.2,1.61,0,0,0,0,1.61,0,0,8.06,0,0.81,16.11,0,0,0,0,0
 48-58,0,0,0,0,341.41,0,0,1.15,5.74,0,0,0,0,0,0,0,24.1,0,0,4.59,142.3,1.15,0,0,0,0,0.57,0,0,2.87,0,0,15.49,0,0,0,0,0
 60-70,0,0,0.98,0,829.39,0,0,2.94,11.78,0.98,0,0.98,0,0,0,0,51.04,0,1.96,5.89,382.79,2.94,2.94,0.98,0,0.98,0,0,0,0,0,0,26.5,0,0,0.98,0,2.94
 72-82,0,4.91,0.98,0,657.71,0.98,0.98,0.98,23.56,0,0.98,0,0,0,0,0.98,92.28,0,1.96,2.94,382.85,1.96,0.98,2.94,0,0,0.98,0,0,0,0,0,15.71,0,0,1.96,1.96,0.98
 84-94,0,12.74,1.06,1.06,572.44,0,1.06,4.25,14.87,2.12,0,0,0,1.06,0,1.06,73.28,1.06,2.12,5.31,207.1,5.31,0,2.12,0,0,2.12,0,0,0,0,0,12.74,0,2.12,0,2.12,0
 96-106,0,8.74,2.19,1.09,385.77,0,2.19,1.09,9.84,0,2.19,2.19,0,0,0,1.09,48.09,0,0,1.09,148.63,2.19,0,1.09,0,0,3.28,0,0,0,0,0,8.74,1.09,0,1.09,1.09,1.09
108-118,0,6.89,1.53,0,386.05,0,0.77,0.77,8.43,0,0.77,0.77,0,0.77,0.77,3.06,40.6,0,0,3.83,191.49,3.06,0,0.77,0,0,2.3,0,0,0,0,0,3.06,0.77,0.77,1.53,2.3,0
120,0,11.76,1.96,0,262.61,0,1.96,3.92,15.68,3.92,0,0,1.96,0,0,3.92,31.36,1.96,3.92,1.96,225.38,7.84,0,1.96,0,0,5.88,0,0,0,0,0,3.92,0,0,0,0,0
