stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,5.75,0,0.82,0,0,0,0,0,0,0,0,0,0,0,1.64,32.01,0,1.64,0,0,1.64,0,0,0,8.21,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,1.61,0,0.81,0.81,0,0,0,0,0,0,2.42,0,2.42,96.68,0,2.42,0,0,0,0,0,0,24.17,0,0,0.81,0,0
 48-58,0,0,0,0,2.3,0,9.18,1.15,0,3.44,0,0,0,0,0,0,5.74,0,1.72,150.34,0.57,3.44,0,0,0.57,0,0,0,24.1,0,0,0,0,0
 60-70,0,0,0,0,2.94,0.98,29.45,0.98,3.93,10.8,0,0,0,0,0,0.98,9.82,0,0.98,372,0,6.87,0.98,0,4.91,0,0.98,0,29.45,0,0.98,0.98,0,0
 72-82,0,0,1.96,0,5.89,0.98,48.1,0.98,0.98,23.56,0,0,0.98,0,0.98,0,21.6,0.98,2.94,266.03,0,16.69,6.87,0,0.98,0,0,0,14.72,0,0,8.83,0,0.98
 84-94,0,0,1.06,0,4.25,0,39.3,1.06,0,16.99,0,2.12,0,0,0,0,5.31,1.06,0,134.88,0,2.12,1.06,0,4.25,0,0,1.06,11.68,2.12,0,2.12,0,1.06
 96-106,1.09,0,1.09,0,7.65,1.09,29.51,1.09,0,12.02,1.09,0,1.09,1.09,1.09,0,19.67,1.09,1.09,95.08,0,13.11,2.19,0,2.19,0,0,0,6.56,0,1.09,4.37,0,0
108-118,0,0,0,0,5.36,0,28.34,3.06,0,8.43,1.53,0,0.77,2.3,1.53,0.77,9.96,0.77,1.53,126.38,0,5.36,4.6,0,3.06,0,0,0.77,3.06,1.53,0,0.77,0.77,0
120,0,0,0,0,3.92,0,27.44,0,0,15.68,1.96,0,0,0,1.96,0,9.8,1.96,0,217.54,0,3.92,0,0,3.92,0,0,0,5.88,0,0,0,0,0
