stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,1,0,0,10,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,2.46,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,5.75,0,0,0.82,0,0,0.82,0,0,1.64,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,1.61,0,0,0,8.06,0,0.81,0,0,0,0,0,0,0.81,0,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,0,1.15,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,0,0.57,0,0,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,1.96,0,1.96,0,0,0,0.98,0,0,0,1.96,0,0,0,0,0,2.94,0,0,0,12.76,0,0,0,0,0,0,0,0,0.98,0,0,0.98,0,0
 72-82,0,0,0,0,1.96,5.89,0,29.45,0,0,0,5.89,0.98,0,0,3.93,0.98,0,0,0,0,3.93,0,0,0,17.67,0,1.96,0.98,0,0,0,0,0,0.98,0,0,0,0,1.96
 84-94,0,0,3.19,0,2.12,6.37,0,31.86,0,2.12,0,10.62,1.06,2.12,0,9.56,0,0,0,0,0,6.37,1.06,1.06,1.06,20.18,0,0,1.06,0,0,8.5,0,0,1.06,1.06,0,1.06,0,1.06
 96-106,0,0,4.37,0,24.04,13.11,1.09,116.93,1.09,2.19,0,48.09,10.93,0,1.09,19.67,3.28,1.09,3.28,6.56,3.28,46.99,0,0,2.19,39.34,2.19,2.19,1.09,0,0,29.51,0,0,4.37,9.84,1.09,12.02,3.28,8.74
108-118,0,0,3.06,0.77,98.04,14.55,15.32,198.38,3.06,19.15,0.77,59.75,38.3,0,1.53,22.98,9.19,16.85,15.32,19.92,3.06,85.79,3.83,0.77,11.49,107.23,2.3,5.36,12.26,0,0.77,127.92,3.83,2.3,4.6,49.02,0.77,12.26,1.53,22.98
120,0,0,3.92,0,164.62,19.6,11.76,268.49,11.76,37.24,3.92,135.23,58.79,0,5.88,37.24,0,7.84,7.84,31.36,1.96,119.55,7.84,1.96,27.44,207.74,19.6,9.8,17.64,0,0,203.82,7.84,3.92,13.72,13.72,0,29.4,13.72,3.92
