stage,axial,blastomeres,endocrine.pancreas,endoderm,erythrocytes,eye,glial,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,visceral.smooth.muscle
  3-4,0,250.38,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,6.13,0,0,18.39,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,0,18.4,0,5.26,0,0,144.58,5.26,36.8,0,0,0,0
 10-12,0,0,0,0,0,12.59,0,0,0,0,25.18,3.15,9.44,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,2.46,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0.81,0,7.25,0,0,0.81,0,2.42,0
 48-58,0,0,0,0,0,3.44,0,0,2.3,0,5.16,0,0,0,0,0,0
 60-70,0,0,0,0,0,2.94,0,0,0,0.98,2.94,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0.98,0.98,0,1.96,0,5.89,0,0,0,0,0.98,0.98
 84-94,0,0,0,0,0,6.37,0,0,2.12,0,4.25,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,0,2.19,1.09,0,1.09,1.09,3.28,0,0,0,0,0,0
108-118,0,0,0,0,0,1.53,0,0,0,0,2.3,0,0,0,0,0,1.53
120,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0
