stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,18.39,312.61,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,5.26,0,0,0,0,0,0,0,0,34.17,5.26,0,13.14,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,0,1,0,0,0,0,0,3,0,0,10,0,0,1,0,0,10,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,2.46,0,0,34.48,0,0,0,0,0,5.75,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,0.81,0,0,0,0,0,51.56,0,0,0,0,0,20.14,0,0,0
 48-58,0,0,0,0,0,5.16,0.57,0,3.44,0,0,0.57,0,0,82.05,0.57,0,0,0,0.57,9.75,0.57,0,0
 60-70,0,0,0,0,0,12.76,0,0,0.98,0,0,4.91,0.98,0,171.77,0,0,0,0,0,12.76,0,0,0
 72-82,0,0,0,1.96,0,33.38,0,0.98,4.91,0,0,3.93,0.98,0.98,202.22,0,0,0,0.98,0,8.83,0.98,0,0.98
 84-94,0,0,0,2.12,0,22.3,0,0,4.25,0,0,2.12,1.06,0,79.65,1.06,0,0,0,0,7.43,1.06,0,0
 96-106,0,0,0,0,0,25.14,0,0,1.09,0,0,2.19,3.28,0,83.06,1.09,1.09,0,0,0,1.09,0,1.09,0
108-118,0,0,0,1.53,0.77,14.55,0,0.77,2.3,0.77,0.77,0.77,0,0,104.94,0.77,0,0,0.77,0.77,4.6,0,0,0.77
120,0,0,0,1.96,0,23.52,0,0,3.92,0,0,1.96,0,0,115.63,0,0,0,0,0,1.96,0,0,0
