stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,367.78,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,10.51,0,18.4,0,0,0,34.17,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,328.59,7.89,0,0,126.18,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,6.29,0,3.15,0,31.47,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,245.46,9.44,0,0,81.82,0,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,0,2,9,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,1,8,0,2,52,2,0,1,1,0,1,6,0,2,11,19,0,0,0,0
 24-34,0,0,0,0.82,3.28,0,0,14.78,0,0,0,2.46,0,0,0,0.82,0.82,0,0.82,0,0.82,11.49,0,3.28,119.02,1.64,0,0.82,0,0,0.82,0,1.64,1.64,3.28,22.98,0,1.64,0,0
 36-46,0,0,0,0,3.22,0,0,25.78,0,0.81,0,8.06,0,0,0,0,0,0.81,0,0,0,8.86,0,3.22,92.65,0,2.42,0.81,0,0,2.42,0,0,0,0,14.5,0,0.81,0,0.81
 48-58,0,0,0,0,0,0,0,35.58,0.57,0,0,6.89,0,0,0.57,0.57,0,0,0,0,0,12.62,0,1.15,90.09,0,1.72,0,0,0,0.57,0,0,0.57,0,14.92,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,0,62.82,0,0,0,19.63,0,0,0,0.98,0,0,0,0.98,0,24.54,0.98,2.94,82.45,0,0,0,0,0,0,0,0,0,0,11.78,0.98,0.98,0,0
 72-82,0,0,0,0,1.96,0,0,36.32,0,0,0,13.74,0.98,0,0,0.98,0,0,0,0,0,22.58,2.94,0,58.9,0,0.98,2.94,0,0,1.96,0,0,0,0,5.89,0,1.96,0,0
 84-94,0,0,0,0,0,0,1.06,27.61,0,0,0,14.87,0,0,1.06,1.06,0,1.06,0,0,0,12.74,1.06,0,35.05,1.06,0,0,0,0,2.12,0,1.06,0,0,3.19,1.06,0,1.06,0
 96-106,0,0,2.19,0,1.09,1.09,0,16.39,0,0,0,8.74,1.09,0,1.09,1.09,1.09,1.09,0,0,0,17.49,0,4.37,22.95,0,0,0,0,0,1.09,0,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0,0,3.83,0,0,15.32,0,0.77,0.77,6.13,0,0,0,0.77,0,0,1.53,0,0,14.55,0,3.06,40.6,0,0,0,0,0.77,0,0,0,0,0,0.77,1.53,0.77,0.77,0
120,0,0,0,0,0,0,0,17.64,0,0,0,7.84,1.96,0,0,0,1.96,0,0,0,0,11.76,0,3.92,23.52,0,0,3.92,0,0,0,0,0,0,0,1.96,0,1.96,0,0
