stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,2.63,0,0,0,23.66,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,144.58,2.63,0,0,60.46,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,18.88,0,0,0,40.91,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,431.13,25.18,0,0,226.58,0,0,6.29,0,25.18,0,12.59,3.15,0,0,0,0,0
 14-21,0,0,5,1,24,13,0,10,0,112,0,0,1,0,0,0,0,0,0,28,0,0,33,236,16,3,44,38,0,1,5,36,132,3,168,455,0,0,0,0,0
 24-34,0,0,3.28,0,2.46,0,0,14.78,4.93,115.74,0,0,0,0,0,0,0.82,0,0,7.39,0,0,13.13,206.86,4.93,16.42,4.93,0,0,0,0,0.82,27.91,0.82,30.37,301.25,0,0,0,0,0.82
 36-46,0,0,0,0,0.81,0,0,15.31,0,82.18,0.81,0,0.81,0,0,0.81,0,0,0,4.83,0,0,3.22,202.22,0,21.75,3.22,0,0,1.61,0.81,0,8.86,0,0.81,172.41,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,53.36,0.57,106.73,0.57,0,0,0,0,0,1.15,0,0,2.87,0,0,1.15,173.86,0,13.2,4.02,0,0,0.57,0,0,2.3,0,0,152.63,0,0,0.57,0,0.57
 60-70,0,0,0.98,0,0,0,0,88.34,0,110.91,0.98,0,0,0,0.98,1.96,1.96,0.98,0,3.93,0,0.98,0.98,231.64,0,12.76,7.85,0,0.98,0,0,0,1.96,0,0,81.47,0,0,0,0,0.98
 72-82,0,0,9.82,0,0.98,0.98,0,75.59,0,169.83,0.98,0,0.98,0,0,3.93,0.98,0,0.98,6.87,0.98,0.98,0.98,204.19,0,29.45,15.71,0,0,0.98,0,0,1.96,0,0,53.01,0,0,1.96,0,0
 84-94,0,0,7.43,1.06,2.12,0,0,62.66,1.06,92.4,3.19,0,0,0,0,10.62,6.37,0,0,3.19,1.06,0,0,107.27,0,16.99,13.81,0,0,0,1.06,0,4.25,0,0,59.47,0,1.06,0,4.25,0
 96-106,0,0,3.28,0,0,0,0,36.06,1.09,89.61,1.09,0,0,2.19,0,5.46,7.65,0,1.09,8.74,0,1.09,1.09,78.68,0,42.62,17.49,0,0,0,0,0,6.56,0,0,33.88,0,0,0,2.19,0
108-118,0,0,4.6,0,3.06,0.77,0,23.74,3.06,72,3.83,0,0,0,0,16.09,9.96,0.77,0,8.43,0,0,0.77,108.77,0,19.15,9.19,0,0,0.77,0,0,6.13,0,0,37.53,1.53,0,0.77,4.6,0
120,0,0,1.96,0,3.92,0,1.96,15.68,1.96,33.32,0,0,0,1.96,0,3.92,1.96,0,0,7.84,0,1.96,0,107.79,0,9.8,3.92,0,0,0,0,0,1.96,0,0,29.4,0,0,0,5.88,0
