stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,42.06,0,47.32,0,0,0,162.98,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,943.71,28.92,0,0,357.5,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,44.06,0,94.41,0,6.29,0,220.29,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,1790.63,25.18,0,0,582.19,0,6.29,3.15,3.15,53.5,0,6.29,9.44,0,0,0,0
 14-21,1,1,7,52,380,65,0,41,0,1,0,119,44,0,4,1,9,0,0,1,172,0,0,259,1728,140,3,70,8,0,31,2,197,24,74,781,1568,0,0,12,0
 24-34,0,0,5.75,21.34,68.95,5.75,0,50.89,0.82,2.46,1.64,87.01,6.57,0,0.82,0.82,9.85,0.82,1.64,0,192.9,4.1,0,142.01,1623.65,18.88,4.1,19.7,0,2.46,60.74,0,0.82,6.57,18.88,77.16,943.98,0,0,33.66,1.64
 36-46,0,0,2.42,2.42,8.06,0,0,62.04,2.42,0,4.03,20.95,0.81,3.22,0.81,0,3.22,0.81,1.61,0.81,97.49,0,0.81,43.51,845.95,6.45,1.61,6.45,0,0,33.03,0.81,0.81,3.22,8.86,1.61,510.79,0,0.81,6.45,0.81
 48-58,0,0,2.3,0,4.59,0,0,87.79,1.72,0,0.57,8.03,2.3,0,0.57,0,1.15,1.15,0,0.57,43.04,0.57,0.57,22.95,204.27,1.72,0,2.87,0,0,7.46,0,0,2.3,2.3,0,197.96,0,0,5.16,1.72
 60-70,0,0,0,0,0.98,0,0,139.38,0,0.98,0.98,0,0,0,0,0.98,0,4.91,0,0,20.61,0.98,0,6.87,81.47,0.98,0,1.96,0,0.98,3.93,0,0,6.87,1.96,0,35.33,0.98,0,3.93,0
 72-82,0,0,0.98,0,2.94,0.98,0,71.66,0,0,0.98,4.91,0.98,0,0,0,0,2.94,0.98,0,24.54,0,2.94,2.94,63.81,0,0,0.98,0,1.96,4.91,0,0,17.67,0.98,0,6.87,0,0,0.98,0.98
 84-94,0,0,1.06,0,1.06,0,0,64.78,1.06,1.06,1.06,3.19,2.12,1.06,0,0,1.06,2.12,1.06,0,23.36,0,2.12,1.06,28.68,0,0,2.12,0,0,4.25,0,0,14.87,1.06,0,11.68,0,0,1.06,0
 96-106,0,0,0,0,2.19,0,1.09,30.6,0,1.09,3.28,7.65,0,0,0,0,0,7.65,3.28,0,15.3,0,0,3.28,30.6,0,0,3.28,0,2.19,7.65,0,0,15.3,0,0,5.46,0,1.09,4.37,0
108-118,0,0,0,0,1.53,0,1.53,19.15,0,1.53,0,6.89,0,0,0,0.77,1.53,8.43,3.83,0.77,18.38,0.77,3.06,2.3,33.7,0,0,1.53,0,0.77,7.66,0,0,10.72,0,0,2.3,0.77,0,0.77,1.53
120,0,0,1.96,0,5.88,0,0,17.64,0,0,0,9.8,0,0,0,0,0,0,5.88,0,13.72,0,0,1.96,31.36,0,0,0,0,0,5.88,0,0,9.8,0,0,0,0,0,0,3.92
