stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,visceral.smooth.muscle
 14-21,0,0,0,0,1,0,1,4,0,0,0,0,3,0,0,1,0,4,0
 24-34,0,0,1.64,0,0,0,0.82,0,0,0.82,0,0,13.95,0,0,0,0,5.75,0
 36-46,0,0,2.42,0,0,0,0,0.81,0,0,0,0,7.25,0,0,0,0,3.22,0
 48-58,0,0,4.02,0,0,0,0,0,0,1.15,0,0,6.31,0,0,0,0.57,0,0
 60-70,0,0,21.59,0,0,0,0,0,0,0.98,0,0,6.87,0,0,0,0,0.98,0
 72-82,0,0.98,126.63,0,0,0,5.89,0,0,1.96,0,0,16.69,0.98,0.98,0,0,0,0
 84-94,1.06,1.06,91.34,0,0,0,5.31,1.06,0,2.12,0,0,8.5,0,0,0,1.06,2.12,1.06
 96-106,1.09,1.09,113.66,0,0,0,7.65,0,2.19,0,1.09,1.09,17.49,2.19,0,0,0,1.09,0
108-118,1.53,0,89.62,0,0,0,0.77,0,1.53,3.06,0,0,16.09,1.53,0,0,0.77,1.53,0.77
120,0,0,52.91,1.96,0,1.96,0,0,0,0,0,0,15.68,1.96,0,0,0,0,0
