stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,312.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0
  7-9,2.63,0,15.77,0,0,0,10.51,0,0,0,0,0,5.26,0,0,0,0,0,0,0,157.72,7.89,0,0,31.54,5.26,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,0,9.44,0,0,0,0,0,6.29,0,0,0,0,0,0,0,94.41,3.15,0,0,25.18,0,0,0,0,0,0,0,0
 14-21,0,0,3,6,5,0,3,0,0,0,0,0,0,0,0,0,0,5,0,2,41,1,0,0,2,0,8,0,12,6,0,0,0
 24-34,0,0,0,0.82,0,0,3.28,0,0,0,0,0,0,0,0,0,0,2.46,0,2.46,10.67,0,0,0,0,0.82,0,0,1.64,3.28,0,0,0
 36-46,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0.81,8.06,0,0,0,0,0,0,0,0,3.22,0,0,0
 48-58,0,0,0,1.15,0,0,4.02,0,0,0.57,0.57,0,0,0,0,0,2.3,6.31,0,2.87,16.07,0,0,0,0,0,0,0,0,1.15,0,0.57,0
 60-70,0,0,0,0,0,0.98,2.94,0,0,0,1.96,0,0,0,0,0,2.94,0.98,0.98,0,8.83,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0.98,0,2.94,0,0,0.98,3.93,0,0,0,0,0,53.99,3.93,0,0,7.85,0,0,0.98,0,0.98,0,0.98,0,0.98,0,0.98,0.98
 84-94,0,0,0,0,0,0,8.5,0,0,1.06,2.12,0,0,0,1.06,0,269.76,2.12,0,0,11.68,0,0,0,0,1.06,0,0,0,0,0,1.06,0
 96-106,0,0,0,2.19,0,0,4.37,1.09,0,0,0,2.19,0,1.09,0,0,412,5.46,0,0,43.71,0,0,0,0,4.37,0,0,0,0,0,3.28,1.09
108-118,0,0,0,1.53,0.77,0.77,6.89,0,0.77,0.77,5.36,0.77,0,0,0,0.77,881.62,9.19,0.77,2.3,33.7,0,0,0.77,0,1.53,0,0,0,1.53,0,0.77,0.77
120,0,0,0,0,1.96,0,5.88,0,0,0,3.92,1.96,0,1.96,0,0,433.11,0,0,1.96,31.36,0,1.96,0,0,3.92,0,0,0,0,1.96,1.96,0
