stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.46,0.98,0,0,0,0.98,0,0,0,0.98,1.96,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,1.96,2.94,0,0.98,0,2.94,1.96,0,0,0,0,129.58,3.93,0.98,0,0.98,17.67,0,0,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,1.06,1.06,1.06,6.37,0,0,0,1.06,2.12,1.06,0,0,0,471.54,1.06,0,0,1.06,24.43,1.06,0,0,5.31,3.19,0,0,1.06,0,0,0,1.06
 96-106,0,0,0,13.11,6.56,7.65,18.58,0,1.09,0,6.56,8.74,6.56,0,0,2.19,746.41,13.11,0,2.19,1.09,115.84,1.09,0,0,7.65,15.3,1.09,1.09,0,1.09,6.56,1.09,2.19
108-118,0,0,0.77,13.02,3.83,3.83,24.51,0.77,0.77,0.77,3.83,3.06,3.83,1.53,0.77,0.77,1453.03,16.85,0,0,2.3,103.41,0,0.77,1.53,6.13,5.36,0.77,0,0,0.77,2.3,2.3,2.3
120,0,0,0,5.88,3.92,0,5.88,0,0,0,3.92,1.96,0,0,0,0,738.84,11.76,0,0,0,66.63,0,0,0,3.92,1.96,0,0,0,0,0,1.96,0
