stage,endoderm,epidermis,eye,glial,heart,immune,lateral.line,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
 24-34,0,3.28,0.82,0,0,0,0,0,0,24.63,0,0,0,2.46,0
 36-46,0,0,0.81,0,0,0,0,0,0,49.95,0,0,0,5.64,0
 48-58,0.57,0,0.57,0.57,0,0,0.57,0.57,1.15,61.4,0,0,0,5.74,0
 60-70,0,1.96,4.91,0,0.98,0,0,0,0,132.51,0,0,0,5.89,0
 72-82,0.98,0,10.8,2.94,0,0,0,2.94,0,153.14,0,0.98,0,13.74,0.98
 84-94,1.06,0,15.93,3.19,0,0,0,1.06,0,80.71,0,2.12,2.12,9.56,1.06
 96-106,0,0,8.74,5.46,0,0,0,4.37,1.09,90.71,0,0,1.09,3.28,0
108-118,3.06,0.77,6.89,3.06,0,0.77,0,2.3,0,100.34,0.77,1.53,0,3.06,0
120,0,1.96,7.84,5.88,0,0,0,0,0,133.27,1.96,1.96,3.92,1.96,0
