stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,3,0,4,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,1,469,0,13,1,1,0,0,3,0,0,1,297,0,0,1,0,0
 24-34,0,1.64,0,5.75,0.82,0,13.13,0,1.64,0,8.21,0,1.64,0,0,0.82,0,1.64,0,9.85,0,0,7.39,2017.66,0.82,45.97,0.82,0,0,3.28,0,0,0,1.64,526.17,0,0,2.46,0,0
 36-46,0,0.81,0,4.03,0,0,182.08,0,0,0.81,20.95,0,1.61,0.81,0.81,0,0,0,0,16.92,0,0,3.22,4627.76,1.61,45.12,3.22,0,0,5.64,0,0,0.81,0,846.76,0,0,6.45,0,0.81
 48-58,0,0,0,14.35,0.57,0,539.38,1.15,1.15,2.87,83.2,0,0.57,0.57,0,2.3,0.57,1.15,1.72,46.48,1.15,0,6.89,5355.89,1.72,20.66,1.15,0,0,5.74,0,0,0.57,0,928.42,0,0,5.74,0,4.02
 60-70,0,0.98,0,9.82,1.96,0,595.78,0,1.96,0.98,78.52,0.98,0,0,0,1.96,0,0,1.96,40.24,0,1.96,2.94,5001.84,1.96,19.63,0,0,1.96,3.93,0,0,0,0,722.4,0,0.98,0.98,0.98,1.96
 72-82,0,2.94,0,26.5,3.93,0,544.82,0,1.96,1.96,119.76,2.94,0,1.96,2.94,0.98,0,0.98,0.98,55.95,0,0.98,7.85,3766.64,0,24.54,2.94,0,0,5.89,0,0,0,0,327.88,0,0.98,2.94,4.91,4.91
 84-94,0,1.06,0,27.61,5.31,0,464.11,2.12,2.12,2.12,97.71,1.06,1.06,5.31,1.06,1.06,1.06,1.06,0,54.16,0,1.06,5.31,1963.71,3.19,20.18,1.06,0,1.06,10.62,0,1.06,0,0,204.97,2.12,1.06,2.12,3.19,2.12
 96-106,0,1.09,1.09,28.41,2.19,0,276.49,1.09,4.37,2.19,86.33,2.19,0,2.19,0,0,2.19,4.37,0,48.09,2.19,2.19,3.28,1500.48,0,29.51,1.09,0,2.19,7.65,0,0,1.09,0,84.15,1.09,1.09,1.09,2.19,2.19
108-118,0,1.53,0.77,16.85,5.36,3.06,225.96,1.53,0,1.53,56.68,3.83,1.53,3.06,0,1.53,0,0.77,0,40.6,0,2.3,3.83,1744.1,0.77,29.11,2.3,0,0,3.83,0,0,0,0,66.64,0.77,2.3,3.06,0.77,0.77
120,0,0,0,19.6,0,0,229.29,3.92,1.96,0,97.99,1.96,0,3.92,0,0,1.96,1.96,0,29.4,0,1.96,5.88,1530.59,0,15.68,1.96,0,1.96,5.88,0,0,0,0,70.55,0,0,1.96,0,0
