stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,18.4,0,0,81.49,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,78.67,0,0,317.84,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,10,113,0,0,55,0,1,36,0,5,17,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,25.45,4.93,3.28,0.82,0,0,0,0,0,0,2.46,0,0.82,0,0
 36-46,0,0,0,0,0.81,6.45,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,45.12,0.81,4.83,1.61,0,0,0,0,0.81,0,2.42,0,0,0,0.81
 48-58,0,0,0,0.57,0,20.08,0,0,1.15,0,0,0,0,0,2.3,0,0,2.3,0,0,0.57,94.68,0,5.74,2.87,0,0,0.57,0,0,0,13.77,0,0,0,1.72
 60-70,0,0,0,0,0,36.32,0,0,0.98,0,0,0,0,0,4.91,0,0,0,0,0,0,141.34,0,2.94,5.89,0,0,0,0,0,0,27.48,0,0,0.98,0
 72-82,0,0,0,0,0,26.5,0,3.93,3.93,0.98,0,0.98,0.98,0,15.71,0,0.98,4.91,0.98,0,0,137.43,0,5.89,9.82,0,0,0,0,0,0,30.43,0,0,0.98,0
 84-94,0,0,0,2.12,0,19.12,0,3.19,5.31,0,0,2.12,0,0,30.8,0,0,7.43,1.06,1.06,2.12,66.91,0,7.43,13.81,0,0,1.06,0,0,0,12.74,0,2.12,2.12,0
 96-106,0,0,0,4.37,1.09,9.84,0,1.09,18.58,0,1.09,4.37,0,0,51.36,1.09,1.09,4.37,1.09,0,0,80.87,0,4.37,10.93,0,1.09,3.28,0,0,0,7.65,0,1.09,0,2.19
108-118,0,0,0,1.53,0,15.32,0.77,1.53,22.98,0.77,0,0,0,0.77,36,1.53,0.77,3.83,0,0.77,0.77,102.64,0,3.83,11.49,0,0,0,0,0,0,8.43,1.53,0,0.77,0
120,0,0,0,0,3.92,9.8,1.96,0,31.36,1.96,0,0,0,0,21.56,0,1.96,0,0,0,1.96,99.95,0,0,5.88,0,0,3.92,0,0,0,3.92,0,1.96,1.96,0
