stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,23.66,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,42.06,2.63,0,0,28.92,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,22.03,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,1,2,37,0,0,0,0
 24-34,0,0,0,0,0,6.57,0,0,0,26.27,0,0,0,0,0,0,0,0,0,3.28,0,0,1.64,522.06,0.82,1.64,0,0,0,0.82,0,0.82,116.56,0,0.82,0,0.82
 36-46,0,0,0,0.81,0,7.25,0,0,0,77.34,0,0,0,0,0,0,0,0,0,6.45,0,0,1.61,409.28,0,0,1.61,0,0,0.81,0.81,0,67.68,0,0.81,0,0
 48-58,0,0,0,1.72,0,28.69,0,0,0.57,173.29,0,0,0,0,0,0,0,0,0.57,8.61,0,0,0,384.45,0,0,0.57,0,0,1.15,0,0,55.09,0,0.57,0,0
 60-70,0,0.98,0,2.94,0,27.48,0,0,0,340.59,0.98,0.98,0,0,0,0.98,0.98,0,0.98,12.76,0,0.98,5.89,662.53,0,0,0,0,0,1.96,0,0,32.39,0.98,0,0,0
 72-82,0,0,0,9.82,0,67.73,0,0.98,0.98,500.65,0,0,0.98,0.98,0,0,0,0,0,31.41,0,2.94,0.98,696,0,0.98,0.98,0,0,2.94,0.98,0,17.67,0,4.91,0.98,0
 84-94,0,0,0,10.62,2.12,97.71,0,1.06,0,317.55,1.06,0,0,1.06,1.06,0,0,0,0,18.05,2.12,2.12,0,356.84,1.06,1.06,1.06,0,0,5.31,0,0,19.12,1.06,5.31,1.06,0
 96-106,0,0,0,13.11,1.09,56.83,0,0,1.09,315.83,1.09,0,0,1.09,1.09,0,0,0,0,16.39,0,0,4.37,327.85,0,0,1.09,0,0,1.09,0,0,4.37,1.09,1.09,0,1.09
108-118,0,0,0,6.89,0.77,43.66,1.53,0.77,0,293.36,0,0,0,0.77,0.77,0.77,0,0.77,0,22.98,0,0.77,3.06,389.11,0,0,0.77,0,0,3.06,0,0,4.6,0,3.83,0.77,0
120,0,0,0,9.8,0,82.31,0,0,0,482.11,0,0,1.96,3.92,0,1.96,0,0,0,17.64,0,1.96,1.96,801.55,0,0,0,0,1.96,1.96,0,0,7.84,0,7.84,0,0
