stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,803.85,2121.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,1232.06,686.52,0,18.39,0,0,0,0,0,0,0,0,140.98,0,0,0,0,0,0,0,0,0,0,0,110.33,49.04,0,0,12.26,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,323.33,42.06,0,141.95,0,2.63,465.28,0,0,0,0,0,912.16,0,0,0,0,0,0,0,0,0,0,0,704.5,28.92,0,0,65.72,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,100.7,0,91.26,324.14,0,0,0,0,0,339.87,0,0,0,0,0,0,0,0,0,0,0,755.27,6.29,0,0,31.47,0,0,3.15,18.88,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,23,38,1,0,0,0,1,0,6,0,0,0,0,0,0,1,4,0,0,0,32,0,0,1,0,0,0,0,0,0,6,8,0,0,3,0,0
 24-34,0,0,0,0,3.28,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.19,0,0,1.64,30.37,0,0,18.06,0,0,0,0,0,0,8.21,1.64,0,0,3.28,0,0
 36-46,0,0,0,0,1.61,1.61,1.61,0,0,0,2.42,0,0,0,0.81,0.81,0,0,0,0,173.22,0,0.81,4.03,49.15,0,0.81,16.92,0,0,0,0,0,0.81,0,4.83,0,0.81,0.81,0,0.81
 48-58,0.57,0,0,0,1.15,0,25.82,0,1.15,2.3,4.59,0,1.15,1.72,0,0,0.57,0,0,0,435.52,0.57,2.87,5.74,98.12,1.15,0.57,10.33,0,0.57,2.3,0,0,0,0,14.35,0,0,0.57,0,0.57
 60-70,0.98,0,0,0,4.91,0.98,15.7,0.98,0,0,5.89,1.96,0,0.98,0,0,0,0,0,0,652.71,0,0,1.96,64.78,0,0,8.83,0,0.98,2.94,0,0,0,0,5.89,0.98,5.89,0,0.98,0.98
 72-82,0,0,0.98,0,7.85,0.98,60.86,1.96,0.98,3.93,9.82,0,0,0.98,0.98,0.98,0,0.98,1.96,0,1138.73,0,3.93,2.94,92.28,0.98,2.94,14.72,0,0,3.93,0,0,0,0,5.89,3.93,13.74,3.93,1.96,0.98
 84-94,0,0,0,0,11.68,0,101.96,1.06,1.06,4.25,11.68,1.06,1.06,1.06,3.19,2.12,0,1.06,0,0,878.3,0,7.43,4.25,31.86,0,1.06,15.93,0,1.06,1.06,0,1.06,0,0,3.19,6.37,18.05,1.06,3.19,2.12
 96-106,0,0,0,0,24.04,10.93,84.15,2.19,1.09,1.09,12.02,4.37,0,3.28,5.46,1.09,1.09,0,3.28,0,857.88,3.28,9.84,6.56,90.71,2.19,2.19,17.49,0,7.65,1.09,0,0,0,0,2.19,1.09,17.49,2.19,2.19,0
108-118,0,0,0,0,2.3,3.06,29.87,0,1.53,2.3,3.83,0,0,0,0,0,0,0.77,0.77,0,744.52,0,5.36,4.6,60.51,0.77,0.77,16.09,0,6.13,0.77,0,0,0,0,3.06,0.77,9.96,0,2.3,0
120,0,0,0,0,7.84,1.96,31.36,0,1.96,3.92,5.88,0,0,0,0,0,1.96,0,3.92,0,633.01,0,0,3.92,78.39,0,1.96,19.6,0,1.96,11.76,0,0,0,0,0,0,15.68,0,0,0
