stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,15,11,78,84,0,4,0,2,0,4,4,10,14,13,1,0,0,19,2,94,0,0,36,143,15,3,2,8,0,3,48,2,15,40,90,0,0,21,0,2
 24-34,0.82,16.42,5.75,35.3,14.78,0,12.31,0.82,9.85,4.1,3.28,9.03,1.64,12.31,63.21,17.24,1.64,0.82,11.49,14.78,53.36,2.46,0,26.27,242.15,25.45,4.93,2.46,0.82,0.82,84.55,0,11.49,3.28,14.78,101.79,0,0,67.31,0,8.21
 36-46,0,12.89,0,15.31,0.81,0,13.7,2.42,3.22,6.45,4.83,3.22,0,7.25,86.21,12.89,1.61,2.42,5.64,30.62,57.2,4.83,0,16.11,319.85,28.2,7.25,1.61,0,0,122.46,0,5.64,3.22,1.61,113.6,0,0,52.37,0,7.25
 48-58,1.15,9.75,0,22.38,0.57,0,32.13,1.72,5.16,7.46,16.64,6.89,2.3,2.87,70.58,7.46,1.15,0.57,2.87,21.8,54.51,7.46,2.3,16.07,212.88,19.51,4.02,2.3,0,0,216.9,0,5.16,2.3,0,66.56,0,0,43.61,0,18.94
 60-70,0,6.87,0,42.21,1.96,0,91.28,1.96,17.67,16.69,20.61,12.76,2.94,5.89,105.02,15.7,18.65,2.94,3.93,18.65,115.82,5.89,5.89,14.72,373.96,31.41,3.93,3.93,0,1.96,381.81,0,10.8,1.96,0,73.61,0,0.98,39.26,0.98,15.7
 72-82,0,24.54,0,63.81,8.83,0,150.19,5.89,16.69,29.45,42.21,51.05,1.96,11.78,133.51,25.52,10.8,1.96,6.87,14.72,191.42,17.67,10.8,23.56,383.83,18.65,7.85,5.89,0.98,0.98,625.32,0,39.27,0,0,47.12,1.96,7.85,79.51,6.87,11.78
 84-94,1.06,20.18,0,148.69,9.56,0,109.39,2.12,56.29,18.05,26.55,75.4,2.12,7.43,160.37,42.48,13.81,2.12,10.62,25.49,129.57,23.36,8.5,10.62,228.34,28.68,4.25,8.5,0,1.06,1762.98,0,79.65,1.06,0,33.99,4.25,5.31,78.59,9.56,14.87
 96-106,0,22.95,2.19,197.81,13.11,1.09,138.79,5.46,63.39,17.49,24.04,210.92,0,12.02,194.53,67.76,10.93,6.56,15.3,25.14,187.97,19.67,12.02,20.76,232.78,21.86,13.11,5.46,0,4.37,1568.24,0,90.71,0,0,12.02,5.46,6.56,100.54,12.02,28.41
108-118,0.77,19.15,5.36,222.13,7.66,0,94.21,6.13,77.36,19.92,27.57,278.04,0.77,9.19,163.92,61.28,22.21,4.6,12.26,22.98,167.75,19.15,9.19,15.32,235.15,38.3,10.72,9.96,0,4.6,1284.52,0,86.55,1.53,0,8.43,3.06,3.83,77.36,8.43,20.68
120,0,15.68,1.96,217.54,15.68,1.96,90.15,5.88,70.55,19.6,37.24,235.17,0,5.88,246.93,33.32,11.76,0,7.84,3.92,135.23,11.76,17.64,5.88,309.65,47.03,7.84,7.84,0,0,917.18,0,62.71,0,0,15.68,3.92,0,64.67,9.8,9.8
