stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,140,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,296.33,0,0,0.82,0,21.34,0.82,1.64,1.64,0,0,0.82,0,0,0.82,0,0.82,2.46,0,1.64,25.45,1.64,0.82,0.82,0,2.46,6.57,0,2.46,0,0,0,0,0
 36-46,0,0,158.72,0,0,3.22,0,16.92,0,3.22,0.81,0,0,0,0,0,0,0.81,0,0,1.61,0.81,23.36,0,1.61,0.81,0,0.81,1.61,0,3.22,0,0,0,0,0
 48-58,0,0,107.88,0,0,4.59,0,29.84,0.57,5.16,1.15,0,0,0,0,0,0.57,0.57,2.3,0.57,6.31,0.57,12.05,0,0,2.3,0,2.3,0.57,0.57,2.3,0,0,0,0,0.57
 60-70,0,0,127.6,0,0,3.93,0,33.37,0,7.85,5.89,0,0,0,0,0.98,0,0,6.87,0,8.83,1.96,12.76,0,0,2.94,0,0.98,0,0,0.98,0,2.94,0,1.96,0
 72-82,0,0,125.65,0,0,2.94,0,35.34,0.98,17.67,9.82,0,0.98,3.93,0,5.89,0,0,18.65,5.89,14.72,0,19.63,0,1.96,3.93,0.98,0,0.98,0,1.96,0,6.87,0.98,8.83,0.98
 84-94,0,0,238.96,0,0,11.68,0,63.72,0,14.87,16.99,1.06,0,1.06,0,0,0,0,8.5,2.12,9.56,0,11.68,0,0,2.12,0,3.19,4.25,0,0,0,8.5,0,7.43,0
 96-106,0,0,224.03,0,0,6.56,0,32.79,0,13.11,16.39,0,1.09,4.37,1.09,2.19,1.09,0,12.02,1.09,13.11,1.09,20.76,0,4.37,5.46,1.09,1.09,1.09,0,1.09,2.19,3.28,0,6.56,0
108-118,0,0.77,255.07,1.53,1.53,4.6,0,62.81,0,22.21,18.38,0.77,0,3.06,0,0,2.3,0,9.19,1.53,10.72,2.3,13.02,0,4.6,6.13,0,0,2.3,0,0.77,0.77,0,0,10.72,0
120,0,0,278.29,0,0,3.92,1.96,48.99,0,11.76,25.48,0,0,1.96,0,3.92,5.88,0,13.72,0,13.72,0,5.88,0,7.84,5.88,0,5.88,5.88,0,0,0,0,0,13.72,0
