stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,11,1,0,0,0,1,0,0,3,2,0,0,0,0,0,0,2,0,0,0,17,0,1,0,3,1,3,1,0,4,40,0,0,0,0
 24-34,0,0,0,32.01,0.82,0,5.75,0,14.78,0,0,0.82,0.82,0.82,0,0.82,0,0.82,0,0.82,3.28,0,0.82,223.27,0.82,4.93,0,0,4.1,0,0,0,4.93,95.22,0,3.28,0,0
 36-46,0,0,0,21.75,0,0,6.45,0,10.47,1.61,12.09,2.42,0.81,0,0,0,0,0,0,3.22,1.61,0,0.81,454.4,0.81,6.45,2.42,0,2.42,0,0,0,0,144.21,0,0,0,0
 48-58,0,0,0,12.05,0,0,37.87,0.57,10.9,0,37.3,0.57,0,0,0,0,1.15,1.72,0.57,7.46,6.31,0,0,555.44,0,5.16,3.44,0,0,0,0.57,0,0,110.17,0,0,0,0.57
 60-70,0,0,0.98,23.56,0,0,158.03,0,18.65,0.98,118.76,3.93,0,0,0,0,5.89,0,0.98,2.94,0.98,0,0,791.11,0,7.85,2.94,0,1.96,0,0.98,0,0,124.65,0,0,0,0.98
 72-82,0,0,0,24.54,0,0.98,260.14,0.98,15.71,0.98,125.65,2.94,0.98,0,0,0.98,1.96,0.98,1.96,10.8,2.94,0,3.93,638.08,0,4.91,9.82,0,1.96,0,0,1.96,0,84.42,4.91,2.94,0.98,0
 84-94,1.06,0,1.06,35.05,0,1.06,199.66,0,31.86,0,76.47,7.43,1.06,0,1.06,0,10.62,0,3.19,10.62,4.25,0,4.25,329.23,0,3.19,7.43,0,3.19,0,2.12,0,0,53.1,6.37,0,2.12,0
 96-106,0,0,0,34.97,0,3.28,163.93,1.09,22.95,1.09,93.98,13.11,0,0,0,2.19,16.39,7.65,4.37,6.56,3.28,2.19,1.09,255.73,0,10.93,16.39,0,5.46,0,1.09,0,0,10.93,7.65,1.09,1.09,0
108-118,0,0,0.77,23.74,1.53,1.53,121.02,0.77,32.17,2.3,58.21,9.19,0,0,0.77,1.53,18.38,2.3,6.13,6.89,6.13,0,1.53,295.66,0.77,4.6,19.15,0,2.3,0,3.06,1.53,0,12.26,9.96,0.77,0,0
120,0,0,0,39.2,0,1.96,125.43,0,33.32,0,72.51,11.76,0,0,3.92,0,11.76,3.92,1.96,7.84,3.92,0,1.96,384.12,0,3.92,15.68,0,1.96,0,1.96,1.96,0,25.48,9.8,3.92,0,0
