stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,197.67,6799.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395.34,0,0,0,0,0,0,0,0,0
  5-6,104.2,1753.08,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,55.17,0,0,0,6.13,12.26,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,0,0,0,13.14,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,92,2.63,0,0,34.17,2.63,10.51,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,0,0,0,0,0,163.64,0,0,0,31.47,12.59,6.29,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,1,12,1,0,4,0,0,0,0,0,4,0,2,0,0,0,0,0,0,9,1,1,0,0,39,0,1,0,0,16,0,1,0,0
 24-34,0,0,0,2.46,4.93,0,0,6.57,0,0.82,0,0,0,0.82,0.82,22.16,0,0,0,3.28,2.46,0,18.88,0,1.64,2.46,0,154.32,0,7.39,0.82,0.82,11.49,0,2.46,0,0
 36-46,0,0,0,0.81,3.22,0,0,19.34,0.81,0,0,0,0,0.81,0,6.45,0,0,0,0.81,1.61,0,20.14,0,0,3.22,0,104.74,0,4.83,0,0,8.06,0,0,0,0
 48-58,0,0,0.57,0,3.44,0,0,111.89,0.57,0.57,0,1.15,0,1.15,0,2.3,0.57,2.3,0,2.87,0.57,0.57,21.23,0,1.15,1.72,0,52.79,0,2.3,0,0,4.59,0,0,0,0
 60-70,0,0,0,0,6.87,0,0,561.43,0,2.94,0,11.78,1.96,1.96,0,2.94,0,0.98,0,1.96,1.96,1.96,23.56,0.98,0.98,7.85,0,58.89,0,5.89,0,0,4.91,0,0.98,0.98,0
 72-82,0,0,10.8,0,11.78,0,0,632.19,0,0,1.96,43.19,16.69,0.98,0,4.91,0,3.93,1.96,6.87,1.96,0,51.05,0,0.98,13.74,0,65.77,0,5.89,0,0,3.93,4.91,0.98,0.98,0.98
 84-94,0,0,9.56,0,19.12,1.06,0,477.92,0,4.25,0,33.99,30.8,5.31,1.06,9.56,0,4.25,3.19,7.43,6.37,1.06,48.85,0,1.06,16.99,0,151.87,0,15.93,0,0,1.06,9.56,1.06,0,0
 96-106,0,0,3.28,0,19.67,0,4.37,357.36,0,5.46,1.09,30.6,20.76,0,1.09,14.21,0,8.74,1.09,2.19,5.46,1.09,27.32,0,5.46,17.49,0,128.96,0,19.67,0,0,3.28,9.84,1.09,0,1.09
108-118,0,0,3.06,0,16.09,0,6.13,281.87,0,3.83,0,38.3,29.11,0,0.77,16.09,0.77,7.66,2.3,4.6,7.66,0.77,29.87,0,2.3,15.32,0,112.6,0,12.26,0,0,2.3,16.85,0.77,0,0
120,0,0,5.88,0,39.2,0,0,172.46,0,17.64,0,35.28,39.2,0,0,9.8,0,3.92,1.96,9.8,1.96,1.96,37.24,0,7.84,17.64,0,107.79,0,17.64,0,0,3.92,11.76,3.92,0,0
