stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,immune,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,1,4,1,0,2
 24-34,0,0,0,0,0,29.55,0,0,0,0,0,0,0,0,0,0,3.28,0,0.82,0,0,0,0,0.82,0,0.82,0,9.03
 36-46,0,0,0,0,0,32.23,0,0.81,0,0,0,0,0.81,0,0,0,13.7,0,0,0,0,0,0,0.81,0,0.81,0,4.83
 48-58,0,0,0,0,0,38.44,0,0,0,0,0,0,0,0,0,0,16.07,0,0,0,0,0,0,0,0,0.57,0,3.44
 60-70,0,0,0,0,0,28.46,0.98,0,0,0,0.98,0,0,0.98,0,0,38.28,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,41.23,0,0,1.96,0,0.98,0,0,1.96,0,0,70.68,0,0,0.98,0,0.98,0,0,0,4.91,0,0.98
 84-94,0,0,0,0,0,53.1,1.06,0,4.25,1.06,3.19,0,1.06,3.19,1.06,0,48.85,0,1.06,0,0,0,0,0,0,1.06,0,1.06
 96-106,0,0,2.19,2.19,0,37.16,0,1.09,13.11,0,4.37,1.09,0,3.28,0,1.09,50.27,1.09,1.09,0,0,0,0,0,0,1.09,0,3.28
108-118,0,0,1.53,1.53,0,28.34,0,0,15.32,0,5.36,0,0,3.83,0,0,47.49,0,0.77,0,0,0.77,0,0,0,0,0.77,1.53
120,0,0,0,0,0,11.76,0,0,23.52,0,3.92,0,0,0,0,0,70.55,0,0,0,0,1.96,0,0,0,1.96,0,0
