stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,heart,liver,mesenchyme,mural.cell,muscle,neural,otic,periderm,spinal.cord,vasculature
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1,0
 24-34,0,0.82,0,0,0.82,0,0,0,0,0,2.46,0,0,6.57,0,0.82,0.82,0.82
 36-46,0,0,0,0,1.61,0,0,0.81,0.81,0,2.42,0,0.81,3.22,0,0,0.81,0
 48-58,0,0.57,0,0,0.57,0,0,0.57,0,0,1.72,0,0.57,1.15,0,0,0.57,0.57
 60-70,0.98,0.98,0,0,0.98,0.98,0.98,2.94,0,0.98,1.96,0.98,0,2.94,0,0.98,0,0
 72-82,0,0,0,0,0.98,0,0,1.96,0,0,1.96,0,0,0.98,0.98,0,0,0
 84-94,0,0,0,0,0,0,0,3.19,0,1.06,1.06,0,0,2.12,0,2.12,0,0
 96-106,0,0,0,0,0,0,0,4.37,0,0,4.37,0,0,3.28,0,2.19,0,0
108-118,0.77,0,0.77,0.77,1.53,0,0.77,3.83,0,0.77,1.53,0,0.77,3.83,0,0,0,0
120,0,0,0,0,0,0,0,7.84,0,0,3.92,0,0,0,0,0,0,0
