stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
 14-21,2,5,0,4,0,0,1,0,0,0,0,0,5,0,1,80,0,0,0,1,1,2,2,1,4,22,0,0,0
 24-34,0,2.46,0,46.79,0,0,4.1,0,0,0.82,0,0.82,18.88,0,2.46,217.53,0,1.64,3.28,0,1.64,0,0,0,1.64,53.36,0,1.64,0
 36-46,0,3.22,0,82.18,0,0.81,1.61,0,0,0,0,0,9.67,0,0.81,137.77,0,0.81,2.42,0,0.81,0,0,0,0,17.72,0,0,0
 48-58,0,4.59,0,86.64,0,0.57,4.02,0,0,0,0,0,10.33,0,2.3,52.22,0,0,1.15,0,1.15,0,0,0,0,4.59,0,0,0
 60-70,0,5.89,0,70.67,0,0,5.89,0,0.98,0,0,0,7.85,0,0,40.24,0.98,0,0,0,0.98,0,0,0.98,0,0.98,0,0.98,0
 72-82,0,4.91,0.98,16.69,0.98,0,4.91,0,0,0,0,0,11.78,0.98,2.94,29.45,0,0.98,0,0,0,0,0,0,0,0,0,1.96,0
 84-94,0,2.12,1.06,20.18,0,0,3.19,1.06,0,1.06,1.06,0,10.62,0,3.19,15.93,2.12,0,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,1.09,0,8.74,0,0,2.19,0,0,0,0,0,3.28,0,1.09,6.56,0,0,0,0,5.46,0,0,0,0,0,0,1.09,0
108-118,0,0.77,0,9.96,0,0.77,0.77,0,0,0,0,0.77,0.77,0,1.53,9.19,0,0.77,0,0,0,0,0,0,0,0,0.77,0.77,0
120,0,0,3.92,31.36,0,0,5.88,0,0,1.96,0,0,13.72,0,0,17.64,0,0,0,0,0,0,0,0,0,0,0,0,1.96
