stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,13,0,0,0,0
 24-34,0,0,2.46,0.82,1.64,0,0.82,0,0,0,0,0,9.85,1.64,0,19.7,0,3.28,0,0,1.64,0,13.95,0,0,0,0
 36-46,0,0,2.42,0,0.81,0,0.81,0,0,0,0,0.81,14.5,0.81,0,52.37,0.81,4.83,0,0,0,0,20.95,0,0,0,0
 48-58,0,0,0.57,0.57,8.61,0,1.15,0,0,0,0,0,13.2,0.57,0.57,70,0,2.3,0,0,0,0,9.18,0,0,0,0
 60-70,0,0,0,0.98,27.48,0.98,7.85,0,0,0,6.87,0,6.87,1.96,0,108.95,1.96,2.94,0,0,0,0,10.8,0,0.98,0.98,0
 72-82,0,0,1.96,1.96,45.16,0,13.74,0,0,0,11.78,0,14.72,5.89,0,153.14,0.98,13.74,0,0,0,0,4.91,0,0,0.98,0
 84-94,0,0,6.37,2.12,31.86,0,12.74,0,1.06,0,8.5,0,26.55,1.06,0,83.9,4.25,1.06,0,0,1.06,0,5.31,1.06,0,1.06,0
 96-106,0,0,4.37,2.19,26.23,0,8.74,1.09,0,0,0,1.09,15.3,2.19,0,60.11,4.37,3.28,1.09,0,0,1.09,3.28,0,0,3.28,1.09
108-118,0,0,2.3,0.77,25.28,0,7.66,0,0,1.53,0.77,1.53,19.15,4.6,0,86.55,3.83,3.83,0,0,0,0,1.53,0,0,1.53,0
120,0,0,0,1.96,19.6,0,15.68,0,0,5.88,0,0,5.88,0,0,88.19,5.88,1.96,1.96,0,0,0,5.88,0,0,1.96,0
