stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,896.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,13.14,10.51,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,72.38,9.44,0,0,18.88,6.29,0,0,3.15,0,9.44,0,0,0,0,0,0
 14-21,0,0,1,5,2,0,2,0,2,0,0,0,1,0,0,3,0,0,0,0,3,0,0,2,27,2,3,1,1,21,0,6,2,3,11,11,0,0,0,0,0
 24-34,0,0,0.82,8.21,0.82,0,10.67,0,0.82,0,1.64,0,0,0,0,11.49,0.82,0.82,0,0.82,4.93,0,0,1.64,105.07,0,13.13,0.82,0,50.89,0,0,2.46,0.82,1.64,26.27,0,0,3.28,0,0.82
 36-46,0,0,0,0.81,0,0,36.26,0,0.81,0,2.42,0.81,0.81,0,0,4.03,0,1.61,0,1.61,6.45,1.61,0,1.61,178.05,0.81,17.72,0,0,28.2,0,0,0,0,0,37.87,0,0,3.22,0,0
 48-58,0,0,1.15,2.87,0,0,72.87,0.57,0,1.15,18.36,0.57,1.15,0.57,0.57,1.15,0.57,0,1.15,0.57,11.48,0.57,1.15,0.57,165.83,0,14.92,0.57,0,16.07,0,0,0,0,0,37.3,0,0,1.15,0,1.15
 60-70,0,0,0.98,3.93,0,0,137.41,0,2.94,0,9.82,2.94,0.98,0.98,0,6.87,0,0.98,2.94,0.98,11.78,0.98,0.98,0,176.67,0,12.76,0,0,28.46,0,0,0.98,0.98,0,36.32,0,0,2.94,0,1.96
 72-82,0,0,8.83,7.85,1.96,1.96,129.58,0,0,0.98,16.69,12.76,0,0,3.93,14.72,0,2.94,2.94,0,26.5,0,1.96,1.96,176.7,0.98,22.58,2.94,0,42.21,0,0,0.98,0,0,21.6,3.93,1.96,4.91,0,2.94
 84-94,0,0,4.25,16.99,1.06,0,87.09,0,3.19,0,15.93,16.99,0,1.06,8.5,21.24,1.06,1.06,5.31,2.12,14.87,2.12,2.12,0,81.78,2.12,13.81,1.06,0,88.15,0,0,3.19,0,0,11.68,2.12,0,5.31,1.06,1.06
 96-106,0,0,7.65,17.49,3.28,3.28,74.31,0,4.37,1.09,20.76,15.3,0,1.09,3.28,19.67,1.09,3.28,2.19,0,32.79,3.28,2.19,1.09,68.85,0,25.14,2.19,0,106.01,0,0,2.19,0,0,7.65,3.28,2.19,2.19,1.09,0
108-118,0,0,0.77,29.11,1.53,8.43,43.66,0.77,4.6,0.77,10.72,18.38,0.77,0,5.36,16.09,3.06,0.77,4.6,1.53,12.26,2.3,0.77,2.3,108,0,14.55,3.06,0,72,0,0,2.3,0,0,6.13,1.53,0,4.6,0.77,1.53
120,0,0,0,19.6,5.88,1.96,35.28,1.96,3.92,0,7.84,21.56,0,0,7.84,7.84,0,1.96,5.88,0,29.4,3.92,1.96,3.92,97.99,1.96,13.72,0,0,82.31,0,0,5.88,1.96,0,1.96,1.96,0,13.72,1.96,1.96
