stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,7.89,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0,86.75,0,0,0,44.69,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,15.73,0,3.15,25.18,0,0,0,0,0,0,0,0,0,0,0,0,154.2,9.44,0,0,107,0,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,1,4,2,1,0,0,3,0,0,0,0,0,0,2,0,5,49,1,0,1,3,0,0,5,1,2,27,0,0,0
 24-34,0,0,0.82,0.82,0,0,9.03,0,0.82,1.64,0,0,0,0,0,0.82,8.21,0,4.1,98.5,0.82,1.64,0.82,0,0.82,0,0,0,0,31.19,2.46,0,0
 36-46,0,0,0.81,0,0.81,0,36.26,0,0.81,4.83,0,0.81,0,0,0.81,0,9.67,0,1.61,82.98,0,0.81,0,0,0.81,0,0,0,0,24.17,1.61,0,0
 48-58,0,0,0,0,0.57,0,35.58,0.57,0,4.59,0,0,0,0,0,0,7.46,0,1.15,43.61,0,1.72,1.15,0,1.15,0,0,0.57,0,10.33,0,0,0
 60-70,0,0,0,0,0.98,0,25.52,0,0.98,6.87,0,0.98,0,0,0,0,2.94,0,0,23.56,0,0.98,0,0,0.98,0,0,0,0,3.93,0,0,0
 72-82,0,0,0,0,0,1.96,13.74,0,0,2.94,0,0.98,0,0,0,0,14.72,0,1.96,20.61,0,1.96,0,0,0,0,0,0.98,0,0.98,0,0,0.98
 84-94,0,0,0,0,1.06,1.06,8.5,0,0,2.12,0,0,0,0,0,0,5.31,2.12,2.12,14.87,1.06,0,1.06,0,4.25,0,0,0,0,3.19,0,1.06,0
 96-106,0,0,1.09,0,1.09,2.19,7.65,0,0,4.37,0,0,0,0,0,0,2.19,0,2.19,14.21,0,3.28,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,4.6,0.77,7.66,0,0.77,2.3,0,0,1.53,0.77,0,0,3.06,0.77,0.77,7.66,0.77,1.53,0,0,2.3,0,0,0,0,0,1.53,0,0.77
120,0,0,0,0,0,1.96,3.92,0,0,0,0,0,0,0,0,0,5.88,0,1.96,7.84,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0
