stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,10.51,0,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,63.09,7.89,0,0,13.14,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.58,0,0,0,75.53,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,14,87,0,1,0,0,0,1,1,0,6,0,1,0,0,8,0,0,3,61,1,0,0,2,0,0,0,27,1,18,29,26,0,0,7,0,0
 24-34,0,0,0.82,0,1.64,58.28,0,10.67,0,0,1.64,0.82,0.82,0,5.75,0,3.28,0,0.82,4.1,0,0,4.1,88.65,0.82,3.28,0.82,0,0,2.46,0,0.82,0.82,2.46,8.21,24.63,0,0,10.67,0,0
 36-46,0,0,0.81,0,0.81,8.86,0,28.2,1.61,0.81,0.81,12.09,0.81,0,3.22,0,0,0.81,0,5.64,0.81,0,2.42,136.16,0.81,3.22,0.81,0,0,4.83,0,0,0,7.25,0.81,35.45,0,0,8.06,0,0
 48-58,0,0,0,0,1.15,1.15,0,76.32,0,0,1.15,10.33,0,0,0,0,0.57,0,0,5.74,0,0.57,2.87,79.76,0,1.72,0,0,0.57,0.57,0,0,0,2.3,0,14.35,0,0,5.16,0,0
 60-70,0,0,0,0,5.89,0,0,250.29,0.98,0.98,0,18.65,0.98,0,0.98,1.96,0,0,0,6.87,0,0,0,59.87,0,0.98,0,0,0,0,0,0,0,2.94,0,15.7,0.98,0.98,0.98,0,0
 72-82,0,0,0,0,6.87,20.61,0,542.86,0.98,1.96,2.94,29.45,0,0.98,0,3.93,0.98,0,0.98,6.87,0,2.94,0.98,104.06,0,1.96,1.96,0,0,1.96,0,0,0.98,2.94,0,15.71,1.96,1.96,12.76,2.94,0.98
 84-94,0,0,0,0,16.99,23.36,0,387.64,2.12,1.06,2.12,21.24,2.12,0,1.06,12.74,0,1.06,0,11.68,1.06,4.25,2.12,53.1,1.06,1.06,0,0,0,3.19,0,0,0,1.06,0,5.31,2.12,0,8.5,1.06,0
 96-106,0,0,1.09,1.09,6.56,17.49,0,363.92,1.09,0,0,13.11,2.19,0,0,7.65,1.09,0,1.09,9.84,0,3.28,0,56.83,0,4.37,0,0,1.09,2.19,0,0,0,3.28,0,3.28,1.09,1.09,7.65,2.19,2.19
108-118,0,0,0.77,0,5.36,36.77,1.53,212.17,2.3,2.3,0,15.32,3.83,0,1.53,7.66,3.06,1.53,0.77,10.72,0,0.77,0,75.83,0,0.77,3.06,0,0,4.6,0,0,0,3.83,0,0.77,4.6,0.77,11.49,0,0
120,0,0,0,0,9.8,39.2,0,221.46,0,0,0,9.8,5.88,0,0,9.8,0,0,0,9.8,0,1.96,0,82.31,0,0,0,0,0,5.88,0,0,0,0,0,0,3.92,0,17.64,1.96,0
