stage,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,iridophores,melanocytes,mesenchyme,mural_cell,neural,notochord,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0
 14-21,5,0,1,0,0,0,0,0,0,1,0,8,0,0,0,0,0,5,0,0,0
 24-34,0.82,0,0,1.64,1.64,0,0.82,0,0,0,0,0.82,0,0,0,0,0,0,0,2.46,0
 36-46,0,0,0,4.03,3.22,0,2.42,0,0,0,0,3.22,3.22,0,0,0,0,9.67,0,2.42,0
 48-58,0,0,0,0,0.57,0,1.72,0,0,0,0,1.72,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,1.96,2.94,2.94,0,0.98,0,0,13.74,2.94,1.96,0.98,0,0.98,0.98,0,0,0,0,0.98
 72-82,0.98,0,0.98,0,0.98,1.96,0,0,0,4.91,0,0.98,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,1.06,1.06,1.06,1.06,2.12,0,0,5.31,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,3.28,3.28,4.37,1.09,10.93,2.19,0,18.58,1.09,2.19,0,0,0,0,0,2.19,1.09,0,2.19
108-118,3.83,0.77,0,0.77,1.53,0,2.3,0,0.77,9.19,0,0.77,0,0,1.53,0,0.77,3.06,0,0,0
120,0,0,0,0,0,1.96,1.96,0,0,13.72,0,0,0,0,0,0,0,1.96,0,0,0
