stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,6,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,16,0,32,0,0,18,4,0,1,0,1,0,0,0,6,0,7,57,4,0,0,0,0,0
 24-34,5.75,0,0.82,0,0,9.03,0,0,0,0.82,0,0,0,0,0,0,25.45,0,100.14,0,0,21.34,22.98,0,0.82,0,0,0,0.82,0,0,0,2.46,5.75,1.64,0,0,4.93,0,0
 36-46,7.25,0,0,0,0,7.25,0.81,0,0,0,0,0,5.64,0,0,0,12.09,0,87.82,0,0,21.75,26.59,0,0,0,0,0,1.61,0.81,0,0,0,0,4.03,0,0,8.86,0,0
 48-58,6.31,0,0,0,0,24.1,0,0,0,2.3,0,0,10.9,0,0,0,9.18,0.57,102.71,0,0.57,13.77,32.13,0,0.57,0,0,0,2.3,0,0,0,0,0,0.57,0,0.57,5.16,0,0.57
 60-70,2.94,0,0,0,0,74.6,0,0,0,3.93,1.96,0.98,13.74,0,0,0,13.74,0,143.3,0,1.96,5.89,32.39,0,0,0,0,1.96,0.98,0,0,0,0,0,2.94,0,0,3.93,0,0.98
 72-82,27.49,0,1.96,0.98,0,100.13,0,0,0.98,5.89,8.83,0,30.43,0,0,0,87.37,0,141.36,0.98,0,6.87,51.05,0,0,0,0,2.94,3.93,0,0,0,0,0,1.96,0.98,0,4.91,0,3.93
 84-94,27.61,0,0,0,0,77.53,0,0,0,6.37,11.68,0,24.43,0,0,0,232.59,0,103.02,0,2.12,5.31,29.74,0,1.06,1.06,0,1.06,0,0,0,0,0,0,2.12,0,3.19,2.12,0,1.06
 96-106,32.79,0,5.46,5.46,0,67.76,0,2.19,0,8.74,18.58,0,38.25,2.19,1.09,0,551.89,1.09,128.96,0,1.09,5.46,88.52,0,3.28,1.09,0,6.56,3.28,0,0,0,0,0,3.28,0,0,4.37,4.37,3.28
108-118,26.81,0.77,2.3,2.3,0.77,42.89,0,0,0,12.26,18.38,0,14.55,0,0,0.77,1117.54,0,95.75,0,1.53,1.53,78.89,0,1.53,0.77,0,5.36,4.6,0,0,0,0.77,0,0,0.77,0.77,2.3,7.66,3.06
120,27.44,0,5.88,0,1.96,56.83,1.96,0,0,21.56,9.8,0,1.96,1.96,0,0,566.38,0,125.43,0,0,3.92,64.67,1.96,0,0,0,9.8,3.92,0,0,0,0,0,1.96,0,0,1.96,17.64,0
