stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pronephros,slow_muscle,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,4.93,0,1.64,0,0,0,0,0.82,0.82,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0.81,12.09,0,0,0,0,0,0,3.22,0,0
 48-58,0,0,0,4.59,0,0,0,0,0,1.15,0.57,14.35,0,0,0,0,0,0,6.31,0,0
 60-70,0,0,0,27.48,0,0,0,0,0.98,0,0,47.11,0,0,0,0,0,0,8.83,0,0
 72-82,0,0.98,0.98,62.83,0,0.98,0,0,0,2.94,0.98,71.66,0,0,0.98,0,0.98,0.98,4.91,0,0.98
 84-94,0,2.12,0,38.23,0,1.06,0,0,0,3.19,0,37.17,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,1.09,39.34,1.09,3.28,2.19,1.09,0,3.28,0,28.41,0,1.09,0,0,1.09,0,7.65,0,0
108-118,0,1.53,0,28.34,0,0.77,1.53,0,0,2.3,0,42.89,0.77,0,0,0,0.77,0,2.3,0,0
120,0,1.96,0,21.56,0,0,1.96,0,0,0,1.96,33.32,0,0,0,0,0,0,0,0,0
