stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,1,9,0,8,0,0,0,0,0,0,0,0,0,0,3,0,2,86,0,1,0,0,0,8,1,11,24,0,0,2,0
 24-34,0,0,2.46,0.82,9.03,0,0,0.82,0,0,0,0,0,0,0,4.1,0,2.46,75.52,0,0,0.82,0,0,0.82,0.82,0.82,18.06,0,0,1.64,0
 36-46,0,0,0.81,0,9.67,0,0,3.22,0,0,0,0,0,0,0,8.06,0.81,2.42,63.65,0,0,0.81,0,0,0,0,0,20.14,0,0,0,0
 48-58,0,0,1.15,0,14.35,0,0,2.87,0,0.57,0,0,0,0.57,0,10.33,0,3.44,34.43,0,0.57,0,0,0,0,0,0,11.48,0,0,0,0
 60-70,0,0,1.96,0,16.69,0,0.98,6.87,1.96,0,0.98,0,0,0,0.98,12.76,0,0.98,27.48,0,0,0,0,0,0,0,0,7.85,0.98,0.98,0.98,0
 72-82,0.98,0,0,0.98,10.8,0,0.98,4.91,0,0,0,0,0,0.98,0,14.72,0.98,1.96,22.58,0.98,0,0,0,0,0,0,0,5.89,0,0,0,0.98
 84-94,0,0,2.12,0,12.74,1.06,0,3.19,0,0,0,1.06,1.06,0,0,6.37,0,3.19,6.37,0,0,0,0,2.12,0,0,0,3.19,0,0,1.06,1.06
 96-106,0,0,0,0,3.28,0,1.09,3.28,1.09,0,0,0,0,0,0,8.74,0,1.09,14.21,0,0,5.46,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,4.6,0,0,8.43,0,0,0,0,0.77,0,1.53,8.43,0,0.77,19.15,0,0.77,0.77,0.77,0.77,0,0,0,0.77,0,0.77,0,0.77
120,0,0,1.96,1.96,1.96,1.96,0,5.88,0,0,0,0,0,0,0,7.84,0,1.96,17.64,0,0,1.96,0,1.96,0,0,0,1.96,0,0,1.96,0
