stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,6,0,0,6,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0.81,0,1.61,0,0,0,0,0,0,0,0,0,14.5,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0.57,0,0,0.57,0,0.57,0,1.72,0,0.57,15.49,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0
 60-70,0,0,0,0.98,0,9.82,0,0,0,4.91,0,0,0.98,0,0,13.74,0,0,0,0,0,0,0,0,1.96,0.98,0,0,0,0
 72-82,0,0.98,0,0,0,20.61,0,0,3.93,17.67,0,0,1.96,0.98,0.98,26.5,0,1.96,0,0.98,0,0,0,0,1.96,12.76,0,0,0.98,0
 84-94,0,1.06,0,5.31,1.06,7.43,1.06,0,0,20.18,0,0,0,1.06,0,32.92,2.12,0,0,0,0,0,0,0,1.06,46.73,1.06,1.06,3.19,0
 96-106,0,0,0,4.37,0,14.21,0,1.09,2.19,28.41,1.09,1.09,2.19,1.09,1.09,19.67,1.09,4.37,0,2.19,0,0,0,0,1.09,86.33,0,0,8.74,0
108-118,0,1.53,0.77,3.06,2.3,4.6,0,0,0.77,20.68,0,0,4.6,0.77,0,26.04,0.77,2.3,0,3.83,0,0.77,0,0,0,79.66,0,0,3.06,0.77
120,0,0,0,5.88,0,1.96,0,0,1.96,13.72,0,0,1.96,0,0,25.48,3.92,0,0,1.96,0,0,0,0,0,33.32,0,0,3.92,1.96
