stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,803.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,30.65,735.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,6.13,0,0,18.39,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,26.29,42.06,26.29,0,0,0,126.18,0,0,0,0,0,44.69,0,0,0,0,0,0,0,0,0,799.13,31.54,0,0,304.93,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,31.47,22.03,0,6.29,0,66.09,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,522.4,12.59,0,0,320.99,0,0,3.15,0,28.32,0,3.15,0,0,0,0
 14-21,0,0,0,10,2,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,61,0,0,1,2,0,0,2,15,0,0,18,21,0,1,0
 24-34,0,0,0,1.64,0,0,13.13,0,0,0,0.82,0,0,0,0.82,0,0.82,0,0,2.46,0,4.1,92.76,0,0,0.82,0,0,0,0,0.82,0.82,0,4.1,19.7,0,0.82,0
 36-46,0,0,0,1.61,0,0,11.28,0.81,0,1.61,2.42,0,0,0,0,0,0,0.81,0.81,5.64,0.81,1.61,43.51,0,0,0.81,0,0,0.81,0,0,0,0,0,8.06,0,1.61,0
 48-58,0,0,0,0.57,0,0,25.82,0.57,0,0,5.74,0,0,0.57,0,0.57,0.57,0,0,13.2,1.15,3.44,29.26,0,0,0,0,0,0.57,0,0,0.57,0,0,5.16,0,1.72,0
 60-70,0,0,0,0.98,0,0,15.7,0,0,0,6.87,0,0,0,0,0.98,0,1.96,0,7.85,0,0,14.72,0,0,0,0,0,0.98,0,0,0,0,0,2.94,1.96,0,0
 72-82,0,0,0,0.98,0.98,0,22.58,0,0,1.96,7.85,0.98,0,0.98,0,0,0,0.98,0,17.67,0.98,3.93,37.3,0,0.98,0,0,0.98,1.96,0,0,0,0,0,3.93,0,0,0
 84-94,0,0,0,2.12,0,0,14.87,0,0,2.12,0,1.06,0,0,0,0,0,0,2.12,10.62,1.06,4.25,7.43,0,1.06,0,0,0,4.25,0,0,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,1.09,0,1.09,9.84,0,2.19,0,2.19,1.09,0,0,0,0,0,0,0,17.49,0,4.37,7.65,0,1.09,0,0,0,4.37,0,0,0,0,0,0,0,2.19,0
108-118,0,0,0,2.3,0,0,5.36,0,0,0,3.83,0,0,0,0,0,0,0,0,6.13,0,6.89,6.89,0.77,0,0.77,0,0,0.77,0,0,0,0.77,0,0,0,0,0
120,0,0,0,3.92,1.96,0,3.92,0,1.96,0,5.88,0,0,0,0,0,0,0,0,5.88,0,1.96,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
