stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,948.81,15747.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,803.85,0,0,0,0,0,0,0,0,0,0
  5-6,1164.63,12853.84,0,18.39,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,257.44,55.17,0,0,122.59,0,545.54,0,0,0,0,0,0,0,0,0,0
  7-9,110.41,68.35,0,102.52,0,0,97.26,0,0,0,0,0,97.26,0,0,0,0,0,0,0,0,0,1850.61,89.38,0,0,638.78,0,94.63,21.03,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,40.91,0,0,25.18,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,207.7,6.29,0,0,81.82,0,53.5,9.44,3.15,9.44,0,3.15,0,0,0,0,0
 14-21,0,0,0,4,46,0,2,0,0,0,0,4,2,0,18,0,0,0,0,2,3,0,20,0,3,0,0,0,457,1,3,0,0,0,3,0,0,0,0
 24-34,0,0,0,0.82,45.97,0.82,5.75,0,4.1,0,0.82,2.46,4.93,0.82,63.21,0,2.46,0.82,0,4.1,27.91,4.1,79.62,0,9.03,0.82,0,0,971.07,0,0,0.82,0,0.82,10.67,0,0,4.1,0
 36-46,0,0,0,0,16.11,0,3.22,0,2.42,0,2.42,0.81,0.81,0,30.62,0,4.03,0.81,0.81,1.61,24.98,0.81,98.29,0,8.86,0.81,0,0,895.1,0,0,0.81,0,0.81,5.64,0,0,1.61,0
 48-58,0,0,0,0,24.1,0,16.07,0,7.46,0,3.44,0.57,1.72,0,15.49,0,1.72,0,0,3.44,16.64,0.57,79.76,0,5.16,0,0,0,616.84,0,0,0,0.57,0,7.46,0,0,1.15,0
 60-70,0,0,0,0,51.04,0,18.65,0.98,6.87,0,3.93,1.96,6.87,0.98,24.54,0,4.91,0,0,3.93,20.61,0,69.69,0,6.87,2.94,0,0,599.71,0,0,0,0,0,8.83,1.96,0,0,1.96
 72-82,0,0,0,0,75.59,0,9.82,0,2.94,0,1.96,8.83,1.96,0,39.27,0,6.87,0.98,0,5.89,35.34,1.96,50.06,0,8.83,1.96,0,0,526.17,0,0,0.98,0,0,1.96,13.74,0,0,0
 84-94,0,0,1.06,0,128.51,0,7.43,0,31.86,0,2.12,40.36,3.19,1.06,73.28,1.06,6.37,2.12,0,8.5,37.17,1.06,30.8,0,16.99,4.25,0,1.06,1225.59,0,0,2.12,2.12,0,2.12,31.86,0,0,0
 96-106,0,0,0,0,177.04,3.28,14.21,1.09,16.39,0,3.28,44.81,1.09,0,79.78,0,12.02,5.46,0,7.65,48.09,1.09,38.25,0,18.58,0,0,0,947.5,0,0,0,0,0,2.19,50.27,1.09,0,0
108-118,0,0,0.77,0,166.98,1.53,2.3,0,34.47,0,0.77,52.09,0,1.53,81.19,0.77,3.06,4.6,0,4.6,27.57,0,26.81,0,4.6,0,0,0,733.79,0,0,0,0,0,0.77,60.51,0,0,0
120,0,0,0,0,97.99,0,1.96,0,23.52,1.96,1.96,31.36,0,0,50.95,0,13.72,0,0,1.96,17.64,0,21.56,0,11.76,3.92,0,0,437.03,0,0,0,0,0,3.92,23.52,0,0,0
