stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,214.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,110.41,2.63,0,34.17,0,0,0,0,0,0,0
 10-12,0,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0,25.18,0,0,18.88,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,8,1,0,2,0,5,2,5,0,0,0
 24-34,0,0,0,0.82,3.28,0,0,0,0,0,0.82,0,0,0,5.75,0,0,1.64,32.01,0,0.82,0,1.64,0,2.46,8.21,0,2.46,0
 36-46,0,0,0,0,4.83,0,0,5.64,0,0,0,0,0,0.81,3.22,0,0.81,0,36.26,2.42,0,0,4.03,0,0,9.67,0,0,0
 48-58,0,0,0.57,0,5.74,0,0.57,1.72,0,0,0,0.57,0.57,0,1.72,0,0,0.57,13.77,0,0.57,0,2.3,0,0,6.31,0,0,0
 60-70,0,0,0,0,7.85,0,0,2.94,0,0,0,0.98,0,0,3.93,0,0,1.96,9.82,0,0.98,0,6.87,0,0,0.98,0,0.98,0.98
 72-82,0,0,0.98,1.96,4.91,0,0,2.94,0.98,0,0,0,0,0,2.94,0,0,0,14.72,0,0.98,0,2.94,0,0,3.93,0,0,0
 84-94,0,0,0,1.06,6.37,0,0,2.12,0,0,0,0,0,0,3.19,1.06,0,0,8.5,0,1.06,0,7.43,0,0,0,0,0,0
 96-106,0,0,0,1.09,4.37,0,1.09,3.28,0,0,0,1.09,0,0,3.28,0,0,0,13.11,1.09,2.19,0,10.93,0,0,0,1.09,0,0
108-118,0,0.77,2.3,1.53,1.53,0,0,2.3,0,0,0,0,0,0,0.77,0,0,0,8.43,0,0.77,0,4.6,0,0,2.3,0,0,0
120,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,3.92,0,0,0,5.88,0,0,0,5.88,0,0,1.96,0,0,0
