stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,100.7,3.15,0,0,44.06,0,0,0,3.15,0,12.59,0,0,0,0,0
 14-21,0,0,0,0,6,15,3,0,0,0,1,0,0,0,1,0,0,0,1,26,0,209,58,56,0,1,3,0,0,55,0,3,458,43,0,5,0,0
 24-34,0,0,0.82,0,2.46,2.46,8.21,0.82,0,3.28,1.64,0,0.82,0,0.82,1.64,0,0,0,50.89,0,210.96,130.52,144.47,0,18.06,0,0,1.64,0,0.82,0.82,59.92,27.91,0,7.39,0,0
 36-46,0,0,0,0,0,0,6.45,0,0,4.83,3.22,0,0,0.81,0,0,0,0,0,97.49,0,33.03,91.85,74.93,0,17.72,0,0,2.42,0,0,0,0.81,5.64,0,3.22,0,0.81
 48-58,0,0,0,0,1.15,0.57,12.05,1.72,0.57,0.57,1.72,0,0,0,0.57,0,0,0,0,70,0,13.77,60.82,43.04,0,16.64,0,0,0,0,0,1.15,0,5.74,0,3.44,0,0
 60-70,0,0,0,0,0.98,0,15.7,1.96,0,3.93,4.91,0,0,0,0.98,0,0,0,0,112.88,0,13.74,50.06,15.7,0,12.76,0,0,0,0,0,0,0,4.91,0,4.91,0,0.98
 72-82,0,0,0,0,0.98,0,27.49,0.98,0,2.94,38.28,0,0,0,0,0,0.98,0,0,139.4,0.98,12.76,53.01,23.56,0,22.58,0,0.98,0,0,0,0,0,2.94,0,2.94,1.96,0
 84-94,0,0,0,0,0,0,31.86,0,0,1.06,16.99,0,0,0,2.12,0,1.06,1.06,0,109.39,0,14.87,37.17,29.74,0,12.74,0,0,0,0,0,0,0,6.37,1.06,1.06,1.06,0
 96-106,0,0,0,0,3.28,0,26.23,2.19,0,3.28,37.16,2.19,0,0,1.09,0,0,0,0,84.15,0,9.84,40.44,31.69,1.09,22.95,0,1.09,1.09,0,0,0,0,2.19,0,2.19,3.28,0
108-118,0.77,0,0,0,2.3,0.77,13.79,0,0,4.6,22.21,2.3,0,0,0.77,0,0,0,0.77,102.64,1.53,16.85,40.6,23.74,0,20.68,0,1.53,0,0,0,1.53,0,1.53,2.3,0.77,1.53,0
120,3.92,0,0,0,3.92,1.96,15.68,0,0,5.88,27.44,0,0,0,0,0,0,0,0,72.51,0,15.68,31.36,43.12,0,7.84,0,0,0,0,1.96,0,0,0,0,1.96,0,0
