stage,epidermis,eye,glial,immune,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pgc,spinal.cord
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,1,1,0,0,0,10
 24-34,0,0,11.49,0,0,0,0,0,21.34,1.64,0,0,0,11.49
 36-46,0,1.61,19.34,0,0,0,0,0,22.56,3.22,0.81,0.81,0,15.31
 48-58,0,4.02,45.33,0,0,0,0,0,13.2,0.57,0,0,0,41.89
 60-70,0,0.98,96.19,0,0,0.98,0,0,5.89,0.98,0,0,0,16.69
 72-82,0,5.89,173.75,0,0,0.98,0,0,16.69,2.94,0.98,1.96,0,26.5
 84-94,0,5.31,83.9,0,0,1.06,0,0,9.56,0,0,1.06,1.06,14.87
 96-106,1.09,3.28,121.31,1.09,0,2.19,1.09,1.09,10.93,0,0,1.09,0,15.3
108-118,0,5.36,93.45,0,0.77,0.77,0.77,0,5.36,0.77,0,1.53,0,13.79
120,0,17.64,99.95,0,0,3.92,0,0,7.84,1.96,0,1.96,0,11.76
