stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,184.49,4309.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0,0,0
  5-6,202.28,1973.74,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,36.78,6.13,0,0,12.26,0,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,44.69,13.14,0,31.54,0,0,0,18.4,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,244.47,73.6,0,0,433.74,0,5.26,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,34.62,0,3.15,0,34.62,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,320.99,15.73,0,0,412.25,0,0,6.29,0,15.73,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,15,43,45,0,16,0,0,0,4,4,0,6,2,0,0,0,1,0,56,0,27,173,6,0,4,44,0,0,1,61,1,3,56,71,0,0,6,0,0
 24-34,0,0,0,4.1,10.67,7.39,0,19.7,0,4.1,4.1,7.39,0,0,5.75,4.93,0,0.82,0,3.28,10.67,128.05,0,46.79,200.29,0.82,0,6.57,0,0.82,0,0,0,0.82,0,18.06,53.36,0,0,20.52,0,8.21
 36-46,0,0,0,0,4.83,3.22,0,16.11,0.81,1.61,14.5,12.89,0,0,4.03,3.22,0,0.81,0,2.42,11.28,178.86,0,53.17,103.13,0,2.42,4.83,0,0,0.81,0,0,0.81,0,0,49.15,0,0,14.5,0,4.03
 48-58,0,0,0.57,0,4.02,2.3,0,13.2,1.15,1.15,18.94,12.05,1.72,0,4.59,3.44,0,0.57,0.57,1.15,3.44,176.73,2.87,28.69,43.04,0,0,1.72,0,1.15,0,0,0,0,0.57,0,20.08,0,0,5.16,0,4.02
 60-70,0,0,0,0,8.83,11.78,0,11.78,3.93,0.98,18.65,17.67,0,0.98,4.91,11.78,0,2.94,0,1.96,1.96,233.6,2.94,27.48,25.52,0,0,1.96,0,2.94,0.98,0,0,0,0,0,5.89,0,3.93,4.91,0,2.94
 72-82,0,0,0,0,3.93,44.17,0,14.72,0.98,0.98,25.52,25.52,5.89,0,6.87,4.91,0.98,3.93,0,1.96,0,222.84,5.89,30.43,23.56,0,0.98,4.91,0,7.85,0,0,0,0,0.98,0,5.89,0,5.89,11.78,4.91,4.91
 84-94,0,0,0,0,5.31,29.74,1.06,20.18,1.06,4.25,28.68,11.68,3.19,0,4.25,16.99,0,13.81,0,6.37,3.19,191.17,7.43,15.93,20.18,0,0,2.12,0,5.31,0,0,0,1.06,0,0,2.12,1.06,1.06,14.87,5.31,5.31
 96-106,0,0,2.19,0,8.74,33.88,2.19,14.21,2.19,3.28,18.58,10.93,2.19,0,4.37,17.49,0,9.84,0,6.56,2.19,142.07,5.46,7.65,25.14,0,1.09,1.09,0,4.37,1.09,0,0,0,0,0,1.09,0,6.56,12.02,0,3.28
108-118,0,0,0,0,14.55,16.09,8.43,13.79,0.77,2.3,11.49,9.19,3.06,0,2.3,19.15,0,8.43,0,6.89,1.53,101.11,1.53,12.26,24.51,0.77,0.77,0.77,0,4.6,0.77,0,0,0,0,0,2.3,0,3.83,11.49,2.3,3.06
120,0,0,0,0,7.84,15.68,3.92,3.92,1.96,3.92,11.76,13.72,3.92,0,1.96,13.72,0,5.88,1.96,13.72,1.96,62.71,3.92,13.72,11.76,0,1.96,0,0,3.92,0,0,0,0,0,0,3.92,1.96,0,9.8,0,3.92
