stage,epidermis,erythrocytes,eye,glial,gut,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord
 14-21,0,0,0,0,0,1,0,1,0,0,0,0,1,0
 24-34,0,0,0.82,0.82,0,0,0.82,5.75,0.82,0,0,0.82,0.82,1.64
 36-46,0.81,0,0.81,0,0,0.81,0,2.42,0,0,0,1.61,0,0.81
 48-58,0,0.57,0.57,0,0,0,0,1.72,0,0.57,0,2.3,0,0
 60-70,0,0,0,0,0,0,0,0.98,0.98,0,0.98,1.96,0,0
 72-82,0.98,0.98,0,0,0,0,0,0.98,0,0,0,1.96,0,0.98
 84-94,0,0,0,1.06,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
