stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
 10-12,3.15,0,69.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.88,0,0,0,6.29,0,0,0,0,0,9.44,0,0
 14-21,0,0,36,22,8,6,0,0,0,156,32,2,0,0,0,0,16,0,0,3,79,28,0,0,9,0,0,1,1,5,953,0,0
 24-34,0,0,1.64,13.13,1.64,42.68,0,0,0,97.68,0.82,0,0,0,0,0,72.24,0,0.82,6.57,42.68,0,0,5.75,0,0,0,0,0,0,363.64,0,0
 36-46,0,0,0,2.42,0,20.14,0,0,0,5.64,0,0,0,0,0,0.81,46.73,0.81,0,0.81,14.5,0,0,3.22,0,0.81,0.81,0,0,0,80.57,0,0.81
 48-58,0,0,0,0.57,0.57,20.66,0,0,0,3.44,0,0,0,0.57,0,0,78.04,0,0,0.57,10.9,0,0.57,2.3,0,0,1.72,0,0,0,20.08,0,0
 60-70,0,0,0,0.98,0,17.67,0,0,0,0,0,0,0,0,0,0,73.61,0.98,0.98,0,5.89,0,0,2.94,0,0,0.98,0,0,0,1.96,0.98,0
 72-82,0,0,0,0,0,15.71,0,0,1.96,0.98,0,0,0,0,0,0,111.91,0.98,0,0,7.85,0,0,0.98,0,0,0,0,0,0,1.96,0.98,0
 84-94,0,1.06,0,4.25,1.06,13.81,0,0,1.06,4.25,0,0,1.06,0,1.06,1.06,70.09,0,0,1.06,6.37,0,0,0,0,0,2.12,0,0,0,3.19,1.06,0
 96-106,0,0,0,2.19,0,14.21,1.09,0,0,4.37,0,0,0,0,0,1.09,89.61,0,0,1.09,6.56,0,0,2.19,0,0,2.19,0,0,0,0,1.09,0
108-118,0,0,0.77,0.77,0,10.72,0,0.77,0,1.53,0,0,0,0,0,0.77,61.28,0,0,0.77,2.3,0,0.77,3.83,0,0,1.53,0,0.77,0,0.77,0,0
120,0,0,0,7.84,0,7.84,0,1.96,0,0,0,0,0,0,0,0,29.4,0,0,0,9.8,0,0,0,0,0,0,0,0,0,1.96,0,0
